MaxReturn,MinReturn,LossBefore,Iteration,Perplexity,NumTrajs,AverageDiscountedReturn,Entropy,MeanKL,StdReturn,MeanKLBefore,ExplainedVariance,LossAfter,dLoss,AverageReturn
11000.0,0.0,1.11762451146e-15,0,4.93080972469,3,292.554678626,1.59550321893,0.00695195883217,4784.2333648,-8.19962984464e-19,3.10862446895e-15,-0.0208543494391,0.0208543494391,4333.33333333
6000.0,0.0,2.1834386151e-17,1,4.84371942461,3,167.632848529,1.57768290176,0.00897207596326,2828.42712475,3.55057581355e-19,-0.308953122183,-0.0306351399637,0.0306351399637,2000.0
9000.0,0.0,2.93283915672e-16,2,4.70598199843,3,676.12040455,1.54883446506,0.00909914836212,4242.64068712,1.25314634609e-19,0.293209258125,-0.0367106698982,0.0367106698982,3000.0
9000.0,3000.0,-1.33596837297e-16,3,4.88370657377,3,453.761644847,1.58590447536,0.00774047028083,2494.43825785,5.66304590251e-19,0.130160652838,-0.0241940295587,0.0241940295587,5666.66666667
5000.0,0.0,2.44249065418e-17,4,4.68576814004,3,102.68042505,1.54452985957,0.00668893708271,2160.24689947,-5.49336893915e-18,-0.321247563941,-0.0273289559906,0.0273289559906,3000.0
11000.0,4000.0,4.40573503605e-16,5,4.8548945179,3,843.833278604,1.57998737502,0.00728228688993,2867.44175568,2.89073028332e-18,-0.143184365233,-0.0204115726407,0.0204115726407,7666.66666667
12000.0,4000.0,1.07166879537e-16,6,4.8189549686,3,1812.74510591,1.57255709306,0.00691098744418,3771.23616633,9.85605179135e-19,0.0889809434568,-0.0303742109657,0.0303742109657,9333.33333333
13000.0,0.0,-8.23878002857e-17,7,4.87546118864,3,3144.59034982,1.58421470277,0.00990395792492,5557.77733351,-3.71947194606e-18,0.288787406778,-0.0283719067866,0.0283719067866,7666.66666667
11000.0,6000.0,-2.34534613952e-17,8,5.09487778899,3,2497.52027385,1.62823567993,0.00658476067878,2160.24689947,1.45329969688e-18,0.373825180014,-0.0219104948866,0.0219104948866,9000.0
14000.0,4000.0,1.86147393795e-16,9,5.18959976426,3,3458.96901139,1.64665657749,0.00737348888599,4189.93502999,-2.74176461308e-18,0.409199958489,-0.0143457650523,0.0143457650523,9666.66666667
10000.0,5000.0,1.46595698543e-16,10,5.11994345725,3,2868.24024594,1.63314339548,0.00760058280284,2054.80466766,3.55875132666e-18,0.493534651192,-0.021177738455,0.021177738455,7333.33333333
10000.0,6000.0,-1.48584848129e-16,11,4.84300798162,3,1247.39796283,1.57753601149,0.00936624131209,1699.6731712,4.10473113753e-18,-0.00693569757485,-0.0381849096978,0.0381849096978,7666.66666667
12000.0,6000.0,3.78863607153e-17,12,4.95560163543,3,3916.96402432,1.60051858028,0.00893425084606,2828.42712475,-2.63276086038e-18,0.227132861768,-0.0303784447936,0.0303784447936,10000.0
20000.0,9000.0,7.9404075907e-17,13,4.95305926687,3,6392.39063194,1.60000541939,0.00853387624816,5185.4497287,1.62744293515e-18,0.368323441076,-0.0419228784425,0.0419228784425,12666.6666667
13000.0,10000.0,5.70839671828e-17,14,4.90520590836,3,6068.82806152,1.59029707141,0.00855234742186,1414.21356237,3.05681712884e-19,0.61892065708,-0.028685797166,0.028685797166,11000.0
8000.0,3000.0,-9.25648446781e-17,15,4.84293780528,3,1621.9464695,1.57752152115,0.00657081790723,2160.24689947,1.5695165476e-18,-1.54687906999,-0.0397572187774,0.0397572187774,6000.0
9000.0,4000.0,7.62815736503e-17,16,4.78672861007,3,2953.74976835,1.56584721569,0.0066911076749,2357.02260396,2.02864860658e-18,0.393680832536,-0.0218973671566,0.0218973671566,7333.33333333
15000.0,6000.0,-3.79002385031e-16,17,4.68273377924,3,5528.99543945,1.54388208025,0.00985720224495,4242.64068712,5.90614459347e-18,0.181505457399,-0.0315748925139,0.0315748925139,12000.0
14000.0,8000.0,1.0736781834e-16,18,4.35979908807,3,5509.90964311,1.47242597558,0.00972768025032,2494.43825785,4.66000138952e-18,0.75379596466,-0.024900918747,0.024900918747,11333.3333333
18000.0,9000.0,-1.58553725704e-16,19,4.30244391378,3,10222.1472493,1.45918321329,0.00789060332477,3858.61230093,-5.15427552268e-18,0.733506285934,-0.0198010392884,0.0198010392884,14333.3333333
12000.0,3000.0,3.82101757642e-17,20,3.58331779451,3,4286.04505525,1.27628912948,0.00647452835392,4027.6819912,-2.46617451334e-19,0.35454631162,-0.0380834914913,0.0380834914913,8666.66666667
15000.0,13000.0,3.1918911958e-18,21,4.06493174988,3,7754.96407225,1.40239695316,0.00740192131372,816.496580928,-6.85673473553e-18,0.605369337418,-0.0315985717694,0.0315985717694,14000.0
16000.0,12000.0,-3.60822483003e-18,22,3.90425995315,3,9072.07565583,1.36206825269,0.00916243731378,1699.6731712,-1.6948092026e-17,0.838721675217,-0.0203732982181,0.0203732982181,13666.6666667
16000.0,13000.0,-6.77929934412e-17,23,4.37502194089,3,8833.83463676,1.47591153486,0.00921271545666,1247.21912892,3.93957530578e-18,0.709041171405,-0.0329426662081,0.0329426662081,14666.6666667
15000.0,7000.0,-1.98914958579e-17,24,4.65566548129,3,7114.34849214,1.53808486105,0.00681975486677,3559.02608401,3.90342854722e-18,0.787963776151,-0.0239476680806,0.0239476680806,12000.0
13000.0,10000.0,-6.65439925385e-17,25,4.37380635076,3,7540.63651121,1.47563364847,0.00675671390674,1247.21912892,-6.11656242262e-18,0.754864831318,-0.0278594585766,0.0278594585766,11666.6666667
