dLoss,MeanKL,AverageReturn,LossBefore,LossAfter,MinReturn,Entropy,Iteration,NumTrajs,MeanKLBefore,AverageDiscountedReturn,StdReturn,Perplexity,ExplainedVariance,MaxReturn
0.0,0.040876751618,3.33333333333,0.00504242278467,0.00504242278467,0.0,1.53449184829,0,3,0.040876751618,0.472961193446,3.3993463424,4.63896763158,7.39465511046e-09,8.0
0.0,0.0362060844618,2.33333333333,-0.00417931678677,-0.00417931678677,0.0,1.51228219104,1,3,0.0362060844618,0.729927858846,2.62466929134,4.53707345627,-0.675552198619,6.0
0.0,0.0641044981803,1.0,0.00491673617118,0.00491673617118,0.0,1.51458162098,2,3,0.0641044981803,0.0242328390811,1.41421356237,4.54751814261,-1.79174125348,3.0
0.0,0.045181875012,4.0,0.0110760066334,0.0110760066334,0.0,1.5383625087,3,3,0.045181875012,0.674601771874,2.94392028878,4.65695829535,0.0404581966087,7.0
0.0,0.0439712332709,0.666666666667,-0.0117562650517,-0.0117562650517,0.0,1.50623565434,4,3,0.0439712332709,0.357530206307,0.942809041582,4.50972264727,-4.8767919298,2.0
0.0,0.0367796866425,3.66666666667,-0.00473348543812,-0.00473348543812,0.0,1.51147492269,5,3,0.0367796866425,0.883574892977,3.29983164554,4.53341229841,0.094291142107,8.0
0.0,0.0587309173868,0.0,0.00300322750342,0.00300322750342,0.0,1.48617680858,6,3,0.0587309173868,0.0,0.0,4.42016404026,0,0.0
0.0,0.0531528803588,0.666666666667,0.0145392354403,0.0145392354403,0.0,1.52687923907,7,3,0.0531528803588,0.0320837870978,0.942809041582,4.60378706168,7.4670418293e-08,2.0
0.0,0.0413827075982,4.0,0.00176403234148,0.00176403234148,0.0,1.52100735725,8,3,0.0413827075982,0.189354253325,2.94392028878,4.57683338,0.178576913924,7.0
0.0,0.0492240049037,1.33333333333,-0.0227774163474,-0.0227774163474,0.0,1.49458164141,9,3,0.0492240049037,0.0759923077763,0.942809041582,4.45747134128,-0.55134091214,2.0
0.0,0.069635857218,0.666666666667,0.00999098841023,0.00999098841023,0.0,1.49469830473,10,3,0.069635857218,0.123825280221,0.942809041582,4.45799139503,-0.3540572164,2.0
0.0,0.0535427646187,0.0,0.00423160955919,0.00423160955919,0.0,1.52575076304,11,3,0.0535427646187,0.0,0.0,4.59859472861,0,0.0
0.0,0.0426439599198,3.66666666667,0.0117797195295,0.0117797195295,1.0,1.50519385177,12,3,0.0426439599198,0.408481742999,3.77123616633,4.50502685307,6.24878471189e-09,9.0
0.0,0.0557950706048,0.333333333333,-0.0113314278174,-0.0113314278174,0.0,1.50646540325,13,3,0.0557950706048,0.0170175229964,0.471404520791,4.51075887016,-20.9748716856,1.0
0.0,0.0476485965439,1.0,0.00406838406941,0.00406838406941,0.0,1.49984700751,14,3,0.0476485965439,0.0493716658483,0.816496580928,4.48100345801,0.0864865479812,2.0
0.0,0.0499806600618,2.66666666667,-0.00327661669664,-0.00327661669664,0.0,1.51275929518,15,3,0.0499806600618,0.239702321694,3.77123616633,4.53923862924,0.0430454200149,8.0
0.0,0.0618197670012,1.33333333333,-0.00188849295287,-0.00188849295287,0.0,1.53635084724,16,3,0.0618197670012,0.0478016559428,1.88561808316,4.64759948834,-0.581427571175,4.0
0.0,0.0708980816547,0.0,0.00193058894079,0.00193058894079,0.0,1.50941378268,17,3,0.0708980816547,0.0,0.0,4.52407792397,0,0.0
0.0,0.0530282549976,0.333333333333,0.00789450780855,0.00789450780855,0.0,1.50361573266,18,3,0.0530282549976,0.0241915967845,0.471404520791,4.49792299096,2.80288771748e-07,1.0
0.0,0.06032413547,0.333333333333,-0.00637598695859,-0.00637598695859,0.0,1.50884166163,19,3,0.06032413547,0.201668689046,0.471404520791,4.52149034406,-0.0516175986315,1.0
0.0,0.0521985594569,0.333333333333,0.00281636924234,0.00281636924234,0.0,1.49138025185,20,3,0.0521985594569,0.0455666683189,0.471404520791,4.44322405681,0.263374422558,1.0
0.0,0.0624525312898,0.0,-0.0106004976367,-0.0106004976367,0.0,1.47887347216,21,3,0.0624525312898,0.0,0.0,4.38799969172,0,0.0
0.0,0.0418911339464,0.666666666667,0.00299526675552,0.00299526675552,0.0,1.53184006539,22,3,0.0418911339464,0.0129171478401,0.942809041582,4.62668239262,7.49192073934e-08,2.0
0.0,0.0516469264586,1.0,-0.00510099886432,-0.00510099886432,0.0,1.45673046825,23,3,0.0516469264586,0.0420135157956,0.816496580928,4.29190404688,-0.264745409117,2.0
0.0,0.0501636174153,2.0,0.00125758448529,0.00125758448529,0.0,1.51667186785,24,3,0.0501636174153,0.214554413583,2.16024689947,4.55703351945,0.0632435395427,5.0
0.0,0.0497363672982,2.66666666667,0.00380311376221,0.00380311376221,0.0,1.50881732999,25,3,0.0497363672982,0.640531161177,1.88561808316,4.5213803301,-0.353865391673,4.0
0.0,0.0565319633372,0.666666666667,-0.00153907744576,-0.00153907744576,0.0,1.51527014837,26,3,0.0565319633372,0.0323754474036,0.471404520791,4.55065031157,-3.47095931129,1.0
0.0,0.0634596624535,3.0,-0.0134659081533,-0.0134659081533,0.0,1.52997059677,27,3,0.0634596624535,0.210281724109,2.44948974278,4.61804103498,0.0808981369949,6.0
0.0,0.0527830294037,1.66666666667,0.0107079406784,0.0107079406784,0.0,1.53490130322,28,3,0.0527830294037,0.353095087478,2.35702260396,4.6408674687,-0.0224049427693,5.0
0.0,0.0483695389932,0.666666666667,0.00453635939335,0.00453635939335,0.0,1.49260573955,29,3,0.0483695389932,0.153153847572,0.942809041582,4.44867251104,-0.355954627234,2.0
