MeanKL,MinReturn,MeanKLBefore,LossBefore,AverageReturn,NumTrajs,Iteration,ExplainedVariance,MaxReturn,Perplexity,AverageDiscountedReturn,dLoss,LossAfter,StdReturn,Entropy
0.0360826537951,0.0,0.0360826537951,-0.0108765693182,1.66666666667,3,0,1.2969691543e-08,5.0,4.47389869465,0.347387249659,0.0,-0.0108765693182,2.35702260396,1.49826021968
0.0464370453912,0.0,0.0464370453912,-0.0144533981522,4.66666666667,3,1,0.283219203803,8.0,4.60390831697,0.347823834641,0.0,-0.0144533981522,3.3993463424,1.52690557688
0.0648811266856,0.0,0.0648811266856,-0.021956542073,0.0,3,2,0,0.0,4.30623894271,0.0,0.0,-0.021956542073,0.0,1.46006488805
0.0441785438443,0.0,0.0441785438443,0.00535685334294,2.33333333333,3,3,1.78072241397e-08,5.0,4.33989833324,0.588130259701,0.0,0.00535685334294,2.05480466766,1.46785092232
0.0314153657908,0.0,0.0314153657908,-0.0204940164777,4.66666666667,3,4,0.103287985852,8.0,4.82793563319,0.582314967794,0.0,-0.0204940164777,3.3993463424,1.57441897116
0.0302388292861,3.0,0.0302388292861,0.0212607084135,4.0,3,5,-0.0527148053468,5.0,3.76895293513,0.661322297378,0.0,0.0212607084135,0.816496580928,1.32679722684
0.04007140528,0.0,0.04007140528,-0.0116975704987,4.33333333333,3,6,0.0992893758159,8.0,4.24555451748,0.56795679047,0.0,-0.0116975704987,3.29983164554,1.44587243961
0.0530798096398,0.0,0.0530798096398,-0.00746952146101,0.666666666667,3,7,-8.97899066149,2.0,4.61226313454,0.0181991897127,0.0,-0.00746952146101,0.942809041582,1.5287186551
0.0479613066007,0.0,0.0479613066007,-0.0017138481197,2.66666666667,3,8,0.0538733673659,8.0,4.54780848182,0.194226166388,0.0,-0.0017138481197,3.77123616633,1.51464546458
0.0317692164538,4.0,0.0317692164538,0.0246655483761,5.33333333333,3,9,0.0644707279072,7.0,4.01322719717,0.592525387433,0.0,0.0246655483761,1.24721912892,1.38959570497
0.0358148189211,0.0,0.0358148189211,-0.00874194880843,2.66666666667,3,10,-0.682186867032,4.0,3.77646754426,0.180407732917,0.0,-0.00874194880843,1.88561808316,1.3287890606
0.0340640932325,2.0,0.0340640932325,0.0236831722026,4.66666666667,3,11,0.0811919829335,7.0,4.14261748664,0.759113106118,0.0,0.0236831722026,2.05480466766,1.42132783121
0.0430767680691,0.0,0.0430767680691,-0.0155801951619,4.66666666667,3,12,0.308710426113,7.0,4.65603902072,0.259611343102,0.0,-0.0155801951619,3.29983164554,1.53816509113
0.0330063299888,0.0,0.0330063299888,0.0103373394388,4.33333333333,3,13,-0.0810768723489,8.0,4.37179734202,0.976691682082,0.0,0.0103373394388,3.29983164554,1.47517421563
0.0423917290008,0.0,0.0423917290008,-0.0262681914649,2.33333333333,3,14,0.136339705642,7.0,4.6068658772,0.31136468185,0.0,-0.0262681914649,3.29983164554,1.5275477727
0.0359128419148,0.0,0.0359128419148,-0.00616475067283,0.333333333333,3,15,-11.8433767303,1.0,4.16854837694,0.00616667414719,0.0,-0.00616475067283,0.471404520791,1.42756786416
0.0542000066037,0.0,0.0542000066037,0.00313086771982,1.0,3,16,-0.0944142612564,2.0,4.53398245917,0.0652212714795,0.0,0.00313086771982,0.816496580928,1.51160068335
0.0540104963374,1.0,0.0540104963374,-0.00240165384718,3.33333333333,3,17,0.144271877176,5.0,4.36237125411,0.315595615952,0.0,-0.00240165384718,1.6996731712,1.47301577514
0.0486060466596,0.0,0.0486060466596,-0.00290030181328,2.33333333333,3,18,0.0811916234353,7.0,4.34376593634,0.115538392202,0.0,-0.00290030181328,3.29983164554,1.46874169912
0.0310723308739,0.0,0.0310723308739,0.017452670637,3.0,3,19,-0.161584169807,5.0,4.07092073324,0.586036952669,0.0,0.017452670637,2.16024689947,1.40386919825
0.0313988102358,0.0,0.0313988102358,0.00249572851246,0.333333333333,3,20,-20.0146686774,1.0,4.83481293083,0.0808055486815,0.0,0.00249572851246,0.471404520791,1.57584243753
0.0419025612394,0.0,0.0419025612394,0.0125165647372,2.0,3,21,0.096218641702,6.0,4.60536791445,0.508004992416,0.0,0.0125165647372,2.82842712475,1.52722256108
0.0336237509293,0.0,0.0336237509293,-0.00663915615108,4.33333333333,3,22,0.192645593471,7.0,4.47637267737,1.20114706184,0.0,-0.00663915615108,3.09120616517,1.49881304824
0.034973312114,0.0,0.034973312114,-0.0179975805452,2.0,3,23,-1.58521658054,6.0,4.53401636569,1.27783917285,0.0,-0.0179975805452,2.82842712475,1.51160816163
0.0368282305507,0.0,0.0368282305507,0.00832932447111,2.33333333333,3,24,-0.210429618898,5.0,4.49174810741,0.37490954451,0.0,0.00832932447111,2.05480466766,1.50224195948
0.03340444024,0.0,0.03340444024,-0.00791466457918,2.66666666667,3,25,-0.122756127134,5.0,4.57758216032,0.469947641128,0.0,-0.00791466457918,2.05480466766,1.52117094614
0.039120216392,0.0,0.039120216392,-0.00180955985466,1.66666666667,3,26,0.262673945956,5.0,4.47597192387,0.297038992503,0.0,-0.00180955985466,2.35702260396,1.49872351784
0.0353163259801,0.0,0.0353163259801,-0.0338560722945,3.0,3,27,-0.301959276856,6.0,4.33357056032,0.110327286271,0.0,-0.0338560722945,2.44948974278,1.46639181198
0.0287470724843,0.0,0.0287470724843,0.0217805032048,5.33333333333,3,28,-0.178095751328,9.0,4.66602258115,0.977047004907,0.0,0.0217805032048,3.85861230093,1.5403070131
