NumTrajs,MeanKLBefore,Perplexity,dLoss,LossBefore,Iteration,AverageDiscountedReturn,AverageReturn,StdReturn,LossAfter,Entropy,MaxReturn,MeanKL,ExplainedVariance,MinReturn
3,0.00996253443977,5.25438528707,0.0,-0.0,32,0.0,0.0,0.0,-0.0,1.65906302072,0.0,0.00996253443977,1,0.0
3,0.0190717150059,4.93185134359,0.0,-0.0113175481265,33,0.160079553048,1.0,1.41421356237,-0.0113175481265,1.59571444365,3.0,0.0190717150059,3.58056604366e-08,0.0
3,0.0140310907849,5.10282157244,0.0,0.00345635497423,34,0.0,0.0,0.0,0.00345635497423,1.62979363624,0.0,0.0140310907849,0,0.0
3,0.0189939924558,4.81751000748,0.0,0.00645659551717,35,0.615382369418,2.0,1.41421356237,0.00645659551717,1.57225719862,3.0,0.0189939924558,2.77471980947e-08,0.0
3,0.0170001440384,4.94533060936,0.0,-0.00272562893414,36,0.0157028290572,0.333333333333,0.471404520791,-0.00272562893414,1.59844382014,1.0,0.0170001440384,-5.1661289585,0.0
3,0.0217153742127,5.1089154296,0.0,-0.0170872157815,37,0.0,0.0,0.0,-0.0170872157815,1.63098713699,0.0,0.0217153742127,0,0.0
3,0.0150758195605,5.22223040004,0.0,-0.0,38,0.0,0.0,0.0,-0.0,1.65292459034,0.0,0.0150758195605,1,0.0
3,0.0207897809107,5.07892699269,0.0,-0.0114388981013,39,0.0667590089525,0.333333333333,0.471404520791,-0.0114388981013,1.62510001737,1.0,0.0207897809107,2.79593917574e-07,0.0
3,0.0170539119287,4.95182911997,0.0,-0.0173163572494,40,0.376867518221,0.666666666667,0.942809041582,-0.0173163572494,1.59975702751,2.0,0.0170539119287,-0.0606258855022,0.0
3,0.0195917550363,4.91711098835,0.0,0.0034455481587,41,0.264665596413,0.666666666667,0.942809041582,0.0034455481587,1.59272116055,2.0,0.0195917550363,0.144175626263,0.0
3,0.0203625692856,4.95674868498,0.0,-0.00178419261683,42,0.204205460008,0.666666666667,0.471404520791,-0.00178419261683,1.60075001874,1.0,0.0203625692856,-0.268145937447,0.0
3,0.00995239901243,5.20997841928,0.0,-0.0146699013148,43,0.0,0.0,0.0,-0.0146699013148,1.65057571358,0.0,0.00995239901243,0,0.0
3,0.0142813796487,4.83519175498,0.0,-0.0121337107913,44,0.250812713577,1.0,0.816496580928,-0.0121337107913,1.57592078789,2.0,0.0142813796487,1.04090985831e-07,0.0
3,0.014063269526,4.96634372578,0.0,-0.0144005361616,45,0.223301924333,2.33333333333,1.6996731712,-0.0144005361616,1.60268390052,4.0,0.014063269526,-0.12336240411,0.0
3,0.0143150144508,4.77183147955,0.0,0.00255228538772,46,0.171702588061,1.66666666667,1.24721912892,0.00255228538772,1.56273018919,3.0,0.0143150144508,-1.90310622436,0.0
3,0.0158943163082,5.02281341109,0.0,0.0156298870775,47,0.214717707151,0.666666666667,0.942809041582,0.0156298870775,1.61399021717,2.0,0.0158943163082,-0.663347809263,0.0
3,0.0143571084067,5.11385902891,0.0,-0.00289743037124,48,0.0491485119773,0.666666666667,0.942809041582,-0.00289743037124,1.63195431077,2.0,0.0143571084067,0.159167422267,0.0
3,0.0139414180916,5.01450308208,0.0,-0.0022978099942,49,0.18521631914,1.33333333333,1.88561808316,-0.0022978099942,1.61233433018,4.0,0.0139414180916,0.241614938811,0.0
3,0.0193896972672,5.06413666707,0.0,-0.0200549904372,50,0.0,0.0,0.0,-0.0200549904372,1.62218367245,0.0,0.0193896972672,0,0.0
3,0.021425016534,4.99945748015,0.0,-0.0163755535919,51,0.0132365928707,0.333333333333,0.471404520791,-0.0163755535919,1.60932940258,1.0,0.021425016534,2.82468556767e-07,0.0
3,0.0146603315898,5.21783560126,0.0,0.000747988287779,52,0.0,0.0,0.0,0.000747988287779,1.65208268013,0.0,0.0146603315898,0,0.0
3,0.0159236515036,5.1570530663,0.0,-0.0,53,0.0,0.0,0.0,-0.0,1.64036530517,0.0,0.0159236515036,1,0.0
3,0.0177121545623,5.12710332955,0.0,-0.0,54,0.0,0.0,0.0,-0.0,1.6345408466,0.0,0.0177121545623,1,0.0
3,0.0137358698008,5.24599860942,0.0,-0.0,55,0.0,0.0,0.0,-0.0,1.65746561637,0.0,0.0137358698008,1,0.0
3,0.0218383405002,4.9788002109,0.0,-0.0,56,0.0,0.0,0.0,-0.0,1.6051889405,0.0,0.0218383405002,1,0.0
3,0.0131757528232,5.13345968318,0.0,-0.00692942315222,57,0.0143448051781,0.333333333333,0.471404520791,-0.00692942315222,1.63577983405,1.0,0.0131757528232,2.82209077551e-07,0.0
3,0.0133318086969,5.02524229149,0.0,0.00712819707185,58,0.205163986246,1.0,1.41421356237,0.00712819707185,1.61447366999,3.0,0.0133318086969,0.130284700351,0.0
3,0.0172316065065,5.04545001223,0.0,-0.0123836628365,59,0.0,0.0,0.0,-0.0123836628365,1.61848684948,0.0,0.0172316065065,0,0.0
3,0.0155173012465,5.09969460219,0.0,-0.0137738924235,60,0.173691802315,1.33333333333,1.88561808316,-0.0137738924235,1.62918065601,4.0,0.0155173012465,2.14002559007e-08,0.0
