StdReturn,MeanKL,MeanKLBefore,Perplexity,NumTrajs,AverageReturn,AverageDiscountedReturn,Iteration,dLoss,MaxReturn,LossBefore,Entropy,ExplainedVariance,MinReturn,LossAfter
7717.22460186,0.00601392271345,1.12527330659e-17,4.54903926189,3,12666.6666667,3396.65976877,31,0.0253158826334,20000.0,2.34696521476e-16,1.51491605943,0.220256404535,2000.0,-0.0253158826334
1885.61808316,0.00662588037795,5.55550223724e-20,4.31030738476,3,15333.3333333,3373.73106411,32,0.0220662006203,18000.0,-7.29971638691e-17,1.46100922054,0.393828810898,14000.0,-0.0220662006203
6377.04215657,0.00736372062351,-5.73123163665e-18,4.61360845307,3,9000.0,1811.61435556,33,0.0199846262741,14000.0,-4.81096644004e-18,1.52901029552,-7.29170471312,0.0,-0.0199846262741
3559.02608401,0.00672179599067,2.51845814398e-18,4.41632243206,3,20000.0,5388.46720209,34,0.0230119234474,25000.0,-4.11707704965e-17,1.48530732082,0.164212308402,17000.0,-0.0230119234474
9463.37971105,0.00847604162822,4.82378400818e-18,4.45550870181,3,13333.3333333,3540.29598551,35,0.0299139059622,21000.0,-6.18949336229e-17,1.49414124112,0.454958300657,0.0,-0.0299139059622
9741.09279747,0.00631100029019,-4.53695794238e-18,4.53650976742,3,13666.6666667,3794.82345135,36,0.0319854926669,22000.0,1.69494048426e-16,1.5121579427,0.523706384341,0.0,-0.0319854926669
11671.4276,0.00845455145656,7.77688359131e-19,4.56563217305,3,15666.6666667,4707.02925186,37,0.0310741961811,28000.0,-5.0885221962e-17,1.51855698705,0.57366947797,0.0,-0.0310741961811
1632.99316186,0.00782033338359,3.94880311313e-18,4.30229659259,3,28000.0,7593.84842769,38,0.0237771510251,30000.0,-4.4408920985e-17,1.45914897142,0.556995387074,26000.0,-0.0237771510251
5436.50214343,0.00725113707055,-2.90668428683e-18,4.33555421699,3,26666.6666667,9135.21979439,39,0.0247410603778,31000.0,-5.6297559207e-17,1.46684944912,0.669466267787,19000.0,-0.0247410603778
2943.92028878,0.00976753986353,4.83896666127e-18,4.46049253252,3,23000.0,8737.78560282,40,0.0328595879279,27000.0,2.08074298532e-16,1.49525919324,0.783621829153,20000.0,-0.0328595879279
4496.91252108,0.00745770270183,-4.40223502832e-18,4.49896245328,3,27666.6666667,9377.28559347,41,0.0316830294784,34000.0,1.12255401733e-16,1.50384680425,0.574569227046,24000.0,-0.0316830294784
6128.25877028,0.00941217550279,3.63510669472e-19,4.53055355096,3,32333.3333333,11154.8506471,42,0.035896367848,40000.0,-5.90268574759e-17,1.51084412871,0.733811927164,25000.0,-0.035896367848
16048.5374896,0.00695944947568,9.88726897978e-19,4.43645194718,3,22666.6666667,7178.48550823,43,0.0207588365497,35000.0,-1.79808425094e-16,1.48985494599,0.518883798442,0.0,-0.0207588365497
14429.9072146,0.00660164164894,8.0175922117e-19,4.36740892447,3,20333.3333333,8819.66862036,44,0.0243217619082,32000.0,2.36107429904e-16,1.4741699098,-0.187240152063,0.0,-0.0243217619082
16213.848676,0.00647193434388,-6.63934038031e-18,4.46273292136,3,21666.6666667,7661.79426838,45,0.0326346130823,39000.0,-1.38107118334e-16,1.49576134101,0.564611856546,0.0,-0.0326346130823
13888.4444373,0.0088948668204,-1.99390233492e-18,4.27407134362,3,19333.3333333,6783.50964336,46,0.0361488652061,32000.0,-5.21804821574e-17,1.45256684923,0.668085021188,0.0,-0.0361488652061
3091.20616517,0.00946695371957,1.74304797462e-18,4.234084478,3,28333.3333333,9238.18443501,47,0.0262984210593,31000.0,-5.28281122551e-17,1.4431671248,0.414161730658,24000.0,-0.0262984210593
2943.92028878,0.00995264679824,-1.06216033644e-19,4.21567237369,3,29000.0,10948.4620597,48,0.0279247316122,32000.0,1.05933780266e-17,1.43880909799,0.485805116183,25000.0,-0.0279247316122
1699.6731712,0.00967598378143,-1.16864859473e-17,4.1126495249,3,32666.6666667,11224.2207483,49,0.0374137430154,35000.0,7.77850006628e-17,1.41406747407,0.693431495936,31000.0,-0.0374137430154
15084.9446653,0.0090986691876,6.37997650527e-18,4.09905336176,3,21333.3333333,8109.23640165,50,0.0318163132653,32000.0,-2.49985217711e-16,1.41075605968,0.25078284227,0.0,-0.0318163132653
9568.4667296,0.00801540446656,5.07758189991e-19,4.06293383681,3,28333.3333333,10078.8972398,51,0.0281315854693,37000.0,2.43323879564e-16,1.40190533255,0.451612666773,15000.0,-0.0281315854693
5249.33858267,0.00751763131214,-2.4834190903e-18,3.84868056989,3,22333.3333333,7504.61885789,52,0.0215393568398,27000.0,5.89759722539e-16,1.34773038044,-0.0704834044192,15000.0,-0.0215393568398
3771.23616633,0.0096410514857,-3.0595090189e-18,4.00277832111,3,22666.6666667,7823.317842,53,0.0303179442645,28000.0,9.33512526539e-17,1.38698870029,0.699078522261,20000.0,-0.0303179442645
2449.48974278,0.00650627262119,5.378903104e-18,4.13973611711,3,31000.0,12079.1948071,54,0.0401340355972,34000.0,9.54676152946e-17,1.42063204598,0.551504191782,28000.0,-0.0401340355972
5906.68171556,0.0091483503919,-7.57459923577e-21,4.17379716499,3,29333.3333333,11400.5712496,55,0.0285558646249,34000.0,-7.20719780152e-17,1.4288262126,0.464281263753,21000.0,-0.0285558646249
6236.09564462,0.00732658956178,-4.74793708734e-18,4.0912707172,3,23666.6666667,9654.57952057,56,0.0179352520843,32000.0,1.76710498086e-17,1.4088556106,0.416831990054,17000.0,-0.0179352520843
3299.83164554,0.00874547124964,3.20223793835e-18,4.31135598226,3,35666.6666667,12665.0286614,57,0.0298475345098,40000.0,-1.77869871609e-16,1.46125246769,0.538295383974,32000.0,-0.0298475345098
5436.50214343,0.00989538743011,2.04774386114e-18,4.33947271363,3,30333.3333333,11354.2957375,58,0.032668806153,36000.0,-4.20959563504e-17,1.46775284618,0.51318015282,23000.0,-0.032668806153
2867.44175568,0.00834441259401,-4.47982613573e-18,4.28284073835,3,34333.3333333,15027.5029575,59,0.0239664756457,38000.0,-1.03343259876e-16,1.45461651334,0.602359924213,31000.0,-0.0239664756457
4546.06056566,0.00890776498138,-5.73725386656e-18,4.3159357803,3,31000.0,11674.0943533,60,0.0203736561315,36000.0,-1.35123393955e-16,1.46231416784,-0.0961184643994,25000.0,-0.0203736561315
1247.21912892,0.00720095523728,3.53199776463e-18,4.40516896356,3,31666.6666667,12376.2222406,61,0.0214401244536,33000.0,-5.26060676502e-16,1.48277861587,0.275256607709,30000.0,-0.0214401244536
16110.7279648,0.00687744965982,1.89131020824e-18,4.08089671841,3,22666.6666667,9814.01534713,62,0.0198801349533,36000.0,-6.91113832829e-17,1.40631674819,-0.490425542609,0.0,-0.0198801349533
6377.04215657,0.0068607443223,-1.81208843344e-18,4.33616705011,3,34000.0,13799.5307148,63,0.0268073972894,39000.0,-1.11947488316e-17,1.46699078971,0.67423161017,25000.0,-0.0268073972894
3299.83164554,0.00684646132291,2.54802091609e-18,4.28981635424,3,29666.6666667,14250.9084915,64,0.0269365505368,34000.0,2.45636844198e-17,1.45624392415,0.55157176992,26000.0,-0.0269365505368
2624.66929134,0.00802268372527,-1.36476531062e-18,4.53804868762,3,33333.3333333,13939.3129151,65,0.0270713133783,37000.0,4.24197713992e-17,1.51249711517,0.624007411002,31000.0,-0.0270713133783
8485.28137424,0.0090945955394,-1.00735491792e-18,4.23241737031,3,30000.0,12373.7968143,66,0.0226265373645,36000.0,1.88252191613e-16,1.44277331217,0.443844395599,18000.0,-0.0226265373645
942.809041582,0.00822719716597,-3.06268576585e-18,4.41707696744,3,35333.3333333,14756.2491033,67,0.0295508810964,36000.0,-9.39063641662e-18,1.48547815774,0.644350291215,34000.0,-0.0295508810964
2160.24689947,0.00853176399068,1.91238485939e-18,4.23871027375,3,33000.0,14882.514215,68,0.0328107271437,36000.0,-1.00081979741e-16,1.44425904225,0.782620004442,31000.0,-0.0328107271437
2054.80466766,0.00869258760259,7.02627044255e-19,4.31980933084,3,31333.3333333,7498.39505027,69,0.026243342209,34000.0,-9.61268102155e-17,1.4632112649,0.311826065278,29000.0,-0.026243342209
10873.0042869,0.00971829065289,-5.4987345691e-18,4.28683528746,3,25333.3333333,13175.2991469,70,0.0229575136354,34000.0,2.67378711764e-17,1.45554876548,-0.490771783975,10000.0,-0.0229575136354
816.496580928,0.0087958501079,-9.81212455014e-19,4.31675405071,3,37000.0,13526.8917391,71,0.0257052210833,38000.0,-3.38618022511e-17,1.46250374268,0.622633485721,36000.0,-0.0257052210833
3399.3463424,0.00929121728788,-1.48671665283e-18,4.43119991294,3,31333.3333333,14180.5502883,72,0.0239266300737,36000.0,-5.88418203051e-17,1.48867040809,0.605087855831,28000.0,-0.0239266300737
16083.1174424,0.00981470006574,1.42125028721e-18,4.34286759465,3,22000.0,10676.2206899,73,0.0237821008869,38000.0,-2.21119419071e-16,1.46853486602,0.564302486487,0.0,-0.0237821008869
4496.91252108,0.00798550789474,3.29689254865e-18,4.12508831621,3,36333.3333333,14807.4001567,74,0.0310832713141,42000.0,9.77458854597e-17,1.41708742955,0.529663600453,31000.0,-0.0310832713141
3858.61230093,0.0070239471677,2.27489279325e-18,4.20127432508,3,30666.6666667,14901.0726318,75,0.0377137604851,36000.0,-1.92623694772e-16,1.43538789,0.593975929708,27000.0,-0.0377137604851
1699.6731712,0.00959129651833,-1.38058634687e-18,4.11007189547,3,32333.3333333,12336.0869436,76,0.0439251521479,34000.0,-5.78472455122e-17,1.41344052117,0.501633859934,30000.0,-0.0439251521479
1885.61808316,0.00810749487306,3.69366866192e-18,4.22223413694,3,26666.6666667,12225.1028348,77,0.034991314017,28000.0,-2.67505924819e-16,1.44036440429,0.21311257406,24000.0,-0.034991314017
9416.29792788,0.00841185117853,-9.87720445398e-19,4.29236540929,3,33000.0,16231.7508251,78,0.0307443924924,42000.0,-7.29046452837e-17,1.45683795844,0.558353371077,20000.0,-0.0307443924924
4966.55480858,0.00960928209879,1.14395234758e-18,4.17476900589,3,32000.0,16360.5025875,79,0.0334905168157,36000.0,-3.58509518369e-17,1.42905902884,0.636619527981,25000.0,-0.0334905168157
1414.21356237,0.00883222823286,-4.65673202812e-18,4.25866244301,3,31000.0,14920.1463724,80,0.0319392391362,32000.0,9.76071075816e-17,1.44895513047,0.6374050179,29000.0,-0.0319392391362
4320.49379894,0.00997112803075,-5.25913061858e-18,4.23833892394,3,23000.0,11865.6587892,81,0.0325711765173,27000.0,-8.32667268469e-18,1.44417142926,0.656874400874,17000.0,-0.0325711765173
5557.77733351,0.00890210835834,1.95652762254e-18,4.25154249509,3,26666.6666667,13064.305585,82,0.0320107553983,32000.0,2.56369000103e-16,1.44728185711,0.657531141858,19000.0,-0.0320107553983
10656.2449088,0.00925526349446,-1.2402902081e-19,4.03619885878,3,25666.6666667,11339.6782161,83,0.0293420011342,38000.0,4.56486700292e-16,1.39530337253,-1.60028489974,12000.0,-0.0293420011342
1247.21912892,0.00976233610107,-1.00160925405e-18,4.32304823995,3,32666.6666667,11348.4174185,84,0.0308077794784,34000.0,3.93203987888e-17,1.46396076453,0.392484180472,31000.0,-0.0308077794784
6944.22221867,0.00868730532628,-4.71707915676e-18,4.3886085955,3,32666.6666667,15923.4609155,85,0.0234279300018,41000.0,-8.36700500551e-17,1.47901222822,0.718000540236,24000.0,-0.0234279300018
6599.66329107,0.00998332100236,3.28107122959e-19,4.32659115187,3,36333.3333333,16899.9297766,86,0.0371173579128,45000.0,-1.51267887105e-17,1.46477996911,0.827460226426,29000.0,-0.0371173579128
2828.42712475,0.00909669994352,2.63007578932e-18,4.24636202396,3,32000.0,9818.84253998,87,0.0347738827002,36000.0,1.37413228944e-16,1.446062622,0.33955578591,30000.0,-0.0347738827002
2494.43825785,0.00998304892162,9.56160124452e-19,4.2123834193,3,34333.3333333,15853.9902078,88,0.0338731909777,37000.0,8.59728954694e-17,1.43802862035,0.713161155847,31000.0,-0.0338731909777
4966.55480858,0.00772527068919,4.75075006567e-18,4.37002997832,3,34000.0,14831.373543,89,0.0279027138943,38000.0,-1.49313431989e-16,1.47476986911,0.811168861226,27000.0,-0.0279027138943
816.496580928,0.00950884747122,1.34608561389e-18,4.28098826843,3,35000.0,10892.4897525,90,0.0353926758403,36000.0,2.56739074445e-18,1.45418388678,0.22310987763,34000.0,-0.0353926758403
2449.48974278,0.00686685085833,-4.64341510385e-19,4.31519623645,3,36000.0,13583.6217972,91,0.0268160661856,39000.0,-8.16013923099e-17,1.46214280124,0.762772387995,33000.0,-0.0268160661856
7318.16613337,0.00691153909206,6.64614246149e-19,4.4256179711,3,30333.3333333,13140.8548835,92,0.0201813291724,36000.0,-1.67608982249e-16,1.48740992319,0.648308374109,20000.0,-0.0201813291724
6976.14984549,0.00661824161938,6.54734039062e-19,4.36009544981,3,38000.0,8898.50281754,93,0.0274178251298,47000.0,1.02371814729e-16,1.47249394928,0.292623259465,30000.0,-0.0274178251298
7542.47233266,0.00831203630697,7.15910096834e-20,4.1092395967,3,30333.3333333,12733.4036702,94,0.0339984079266,41000.0,-1.05332409461e-16,1.41323799842,0.447413411563,25000.0,-0.0339984079266
3741.65738677,0.00855677069627,-2.29868076394e-18,4.35561869615,3,32000.0,13027.1903883,95,0.0323473583109,37000.0,-1.57559150911e-16,1.47146666592,0.628731283747,28000.0,-0.0323473583109
3741.65738677,0.00842833149373,1.53366203882e-18,4.20849525732,3,36000.0,17264.4911327,96,0.0261853331734,41000.0,9.34206415929e-17,1.43710516274,0.747618062564,32000.0,-0.0261853331734
9568.4667296,0.00963098246018,1.95764121589e-18,4.2415817327,3,30333.3333333,14513.9075466,97,0.0357511096426,39000.0,1.62878969571e-16,1.44493624984,0.541196913095,17000.0,-0.0357511096426
3299.83164554,0.00963808178833,6.78882031743e-18,4.12556098084,3,35333.3333333,12783.3958027,98,0.023264309836,39000.0,7.68135555163e-17,1.4172020059,0.349696739762,31000.0,-0.023264309836
2054.80466766,0.00969360960298,-2.28675635202e-18,4.18938144562,3,36333.3333333,11238.8853834,99,0.0289085099221,39000.0,-8.54177839571e-17,1.43255309669,0.42634253998,34000.0,-0.0289085099221
3091.20616517,0.00974118782965,5.60492137746e-18,4.14136102346,3,33333.3333333,16641.00662,100,0.0238203327691,36000.0,-5.52335954751e-17,1.42102448344,0.679960169247,29000.0,-0.0238203327691
4242.64068712,0.00878293577966,4.39273849724e-18,3.98688717133,3,37000.0,12672.5437168,101,0.0337561391531,40000.0,-2.04581721934e-17,1.38301076886,0.220551454307,31000.0,-0.0337561391531
2160.24689947,0.00947372252274,6.48156601899e-20,3.98772503673,3,36000.0,13283.2472584,102,0.0275775142989,38000.0,-1.54644815472e-16,1.38322090206,0.531904718881,33000.0,-0.0275775142989
3399.3463424,0.00930122254372,4.82152942071e-19,4.02217112921,3,39666.6666667,13756.8543969,103,0.0280206294831,43000.0,-1.96601993944e-19,1.39182183873,0.425293964083,35000.0,-0.0280206294831
3559.02608401,0.00681817542519,-7.53816724654e-19,4.16545480874,3,32000.0,16934.2639489,104,0.0212855320462,35000.0,1.12363821951e-16,1.42682546743,0.269818599945,27000.0,-0.0212855320462
1699.6731712,0.00771852187567,1.17748621129e-19,4.18986166424,3,34333.3333333,14727.9405327,105,0.0259861644596,36000.0,-4.36687723019e-17,1.43266771769,0.651952505509,32000.0,-0.0259861644596
5249.33858267,0.00670164386006,-5.0928024657e-19,4.10053935092,3,34666.6666667,14873.1280896,106,0.0323999490106,42000.0,-6.0661834352e-17,1.41111851406,0.76485100562,30000.0,-0.0323999490106
3091.20616517,0.00660827728651,-1.79155550102e-18,4.06585199942,3,35333.3333333,16828.6984411,107,0.0241698363008,38000.0,-1.30821279735e-16,1.40262331499,0.708694049784,31000.0,-0.0241698363008
3681.78700573,0.00825976899808,6.29884482216e-19,4.27066717451,3,37666.6666667,14087.2534208,108,0.0167655442719,42000.0,2.01135404628e-16,1.45177006199,0.679578215749,33000.0,-0.0167655442719
2867.44175568,0.00709442530233,-3.70845272466e-18,4.21280256113,3,40666.6666667,18046.6603224,109,0.0177136591758,44000.0,8.63198401646e-17,1.4381281177,0.753853613945,37000.0,-0.0177136591758
1699.6731712,0.00902159372141,-1.45740643677e-18,4.06667681438,3,35333.3333333,13541.8534528,110,0.0308244800872,37000.0,5.05151476204e-17,1.40282615841,0.0824698659817,33000.0,-0.0308244800872
942.809041582,0.00652027984598,-1.77191377573e-18,4.00652456659,3,39666.6666667,21313.3392419,111,0.0260026300924,41000.0,4.019932535e-17,1.3879241739,0.573307302639,39000.0,-0.0260026300924
0.0,0.00911219522163,-3.3206642051e-19,4.16042982969,3,39000.0,18544.5027596,112,0.0250616670464,39000.0,7.65128701138e-17,1.42561839338,0.576355647725,39000.0,-0.0250616670464
942.809041582,0.00630799077634,-4.10838016854e-19,4.1142647021,3,38666.6666667,17853.6628342,113,0.0210687407324,40000.0,-6.8648790356e-17,1.41446013095,0.749757897438,38000.0,-0.0210687407324
1247.21912892,0.00778920047577,1.60626510723e-18,3.99625824453,3,40666.6666667,20630.9015575,114,0.0195306298703,42000.0,5.65751149632e-17,1.38535848446,0.840194498003,39000.0,-0.0195306298703
1885.61808316,0.00828685959377,3.13970470648e-18,3.98286285546,3,38666.6666667,15547.5074264,115,0.0176795144504,40000.0,-3.01639500414e-17,1.38200087113,0.707894387077,36000.0,-0.0176795144504
1414.21356237,0.00688916111159,3.53807049596e-18,3.9777143097,3,42000.0,15409.0585452,116,0.0206823978951,44000.0,-8.21565038223e-17,1.38070736028,0.508899274189,41000.0,-0.0206823978951
1247.21912892,0.00771954715511,3.40812530306e-18,3.99551655923,3,42333.3333333,19248.2111416,117,0.0257673124461,44000.0,-1.75785312232e-17,1.38517287229,0.531737997788,41000.0,-0.0257673124461
2624.66929134,0.0084742802193,7.23184294841e-18,3.88622415558,3,38333.3333333,15238.1853541,118,0.0251665251935,42000.0,-1.33550578004e-16,1.35743803215,0.826673392384,36000.0,-0.0251665251935
1632.99316186,0.00849718813049,1.61882641511e-18,4.06246851216,3,37000.0,20620.590291,119,0.0367442464111,39000.0,3.37692836657e-17,1.40179079677,0.837403364866,35000.0,-0.0367442464111
1699.6731712,0.00909528614043,3.27827232554e-18,3.94196475801,3,39666.6666667,18910.8772036,120,0.0229817264674,42000.0,-1.76201645867e-16,1.37167926856,0.816155361222,38000.0,-0.0229817264674
2494.43825785,0.0092225003734,-3.13596214726e-18,3.90992080824,3,40666.6666667,18864.4431923,121,0.0338602987708,44000.0,4.04768811061e-19,1.36351712015,0.774359244191,38000.0,-0.0338602987708
2494.43825785,0.00966991635252,-2.41860951597e-18,3.89060483069,3,39333.3333333,21898.8746163,122,0.0285277243336,42000.0,2.71599872222e-17,1.35856462901,0.845750517374,36000.0,-0.0285277243336
942.809041582,0.00912828991735,1.75457430821e-18,3.82646305321,3,42666.6666667,22416.5567401,123,0.0234156824123,44000.0,-6.18486743302e-17,1.34194089171,0.868075011605,42000.0,-0.0234156824123
1414.21356237,0.00928401643171,1.64357263428e-18,3.81239372988,3,41000.0,17130.9600659,124,0.0249753273093,43000.0,9.43111329773e-17,1.33825726742,0.572966926398,40000.0,-0.0249753273093
1247.21912892,0.00954619810309,3.17958155832e-18,3.88352055239,3,38333.3333333,15966.3549242,125,0.0266780731258,40000.0,-1.75507756476e-16,1.3567421011,0.693834091795,37000.0,-0.0266780731258
6480.74069841,0.00919625379828,-2.78438232014e-18,3.79716626136,3,38000.0,17936.1873862,126,0.0301707461251,44000.0,1.70234197109e-17,1.33425506785,0.772539797296,29000.0,-0.0301707461251
5099.01951359,0.00920563058543,-1.44325595709e-18,3.88436315343,3,35000.0,19187.5061549,127,0.0282956680737,42000.0,4.03612328744e-17,1.35695904591,0.714439978089,30000.0,-0.0282956680737
2828.42712475,0.00667017013713,-3.62171898575e-18,3.81820418666,3,39000.0,16734.6106443,128,0.0248394595501,41000.0,-5.39614649261e-17,1.33978020388,0.600533511002,35000.0,-0.0248394595501
3858.61230093,0.00690266382592,-2.70957243018e-18,3.84033042983,3,37666.6666667,15086.757995,129,0.0263482453586,43000.0,4.18184005942e-17,1.34555841233,0.651653257618,34000.0,-0.0263482453586
471.404520791,0.0096384992099,-1.10816586291e-18,3.86354174638,3,35333.3333333,15669.3943034,130,0.0247156636612,36000.0,1.09912079438e-16,1.35158431366,0.718110086401,35000.0,-0.0247156636612
3399.3463424,0.00814474212479,-5.11405129561e-19,3.75385496503,3,38333.3333333,16217.1354369,131,0.0239292319098,43000.0,-1.15174073982e-16,1.32278330264,0.669827861883,35000.0,-0.0239292319098
1414.21356237,0.0090361716,2.28933089001e-18,3.67145322156,3,40000.0,15274.7396636,132,0.0322420455092,42000.0,7.4061127601e-17,1.30058755687,0.691726471445,39000.0,-0.0322420455092
816.496580928,0.00825733338826,-1.76484580817e-18,3.91754085682,3,38000.0,16886.8606602,133,0.0227340414131,39000.0,1.66533453694e-17,1.3654641245,0.760014205068,37000.0,-0.0227340414131
816.496580928,0.00920760524009,6.32693143486e-20,3.89137381116,3,40000.0,20497.4997055,134,0.0224687346877,41000.0,-1.01307850997e-16,1.3587622601,0.662881549603,39000.0,-0.0224687346877
3858.61230093,0.00744808211912,8.20061777502e-19,3.58255549935,3,37333.3333333,14384.2459225,135,0.0250756712336,41000.0,-1.3553972759e-17,1.27607637239,0.406091600167,32000.0,-0.0250756712336
2624.66929134,0.00802356565396,-4.98051545094e-18,3.71962054028,3,38333.3333333,12921.498025,136,0.0188427463763,42000.0,3.68582479352e-16,1.31362165778,0.15555337355,36000.0,-0.0188427463763
3681.78700573,0.00703743839812,-5.67864910651e-19,3.77247561228,3,36333.3333333,16013.1870972,137,0.0259682083336,41000.0,1.80179945038e-17,1.32773144703,0.533878315108,32000.0,-0.0259682083336
2943.92028878,0.00941949136706,-4.90143828485e-18,3.7765786301,3,39000.0,18956.8617066,138,0.0322836091585,42000.0,1.70303586048e-16,1.32881847545,0.850169968284,35000.0,-0.0322836091585
3091.20616517,0.00994069435694,1.97111665824e-18,3.89215602116,3,38666.6666667,15986.9173164,139,0.0306906899268,43000.0,-2.04003480775e-17,1.35896325118,0.354055148206,36000.0,-0.0306906899268
1247.21912892,0.00916551399402,1.53746385617e-18,3.75310753043,3,40333.3333333,18591.2835109,140,0.0339716802067,42000.0,9.48084203737e-17,1.3225841716,0.736825841376,39000.0,-0.0339716802067
