Entropy,Iteration,MeanKLBefore,dLoss,MaxReturn,AverageReturn,NumTrajs,LossAfter,MeanKL,ExplainedVariance,Perplexity,AverageDiscountedReturn,LossBefore,StdReturn,MinReturn
1.68869943665,0,0.0173547647997,0.0,1.0,0.333333333333,3,-0.00153376180367,0.0173547647997,2.8094850868e-07,5.41243690858,0.0203921418466,-0.00153376180367,0.471404520791,0.0
1.67384633304,1,0.0152964568622,0.0,2.0,0.666666666667,3,-0.0103660280289,0.0152964568622,0.111386142814,5.33263950899,0.0354383336792,-0.0103660280289,0.942809041582,0.0
1.7073569324,2,0.0230702567412,0.0,0.0,0.0,3,0.010751682008,0.0230702567412,0,5.51436735382,0.0,0.010751682008,0.0,0.0
1.6862189211,3,0.0192542267475,0.0,1.0,0.333333333333,3,-0.0122152057271,0.0192542267475,2.83332575068e-07,5.39902791219,0.00979111268882,-0.0122152057271,0.471404520791,0.0
1.6970778766,4,0.026673406289,0.0,0.0,0.0,3,0.0345622463392,0.026673406289,0,5.45797518973,0.0,0.0345622463392,0.0,0.0
1.6929675617,5,0.0114905588067,0.0,2.0,1.33333333333,3,-0.00772526317565,0.0114905588067,1.12268049746e-07,5.43558723525,0.240190116057,-0.00772526317565,0.471404520791,1.0
1.66349776796,6,0.00601166037238,0.0221233468503,0.0,0.0,3,-0.0272279180046,0.00963877841535,0,5.27773890317,0.0,-0.0051045711543,0.0,0.0
1.70216775053,7,0.0269753719218,0.0,4.0,1.33333333333,3,-0.00975514219599,0.0269753719218,2.07549534226e-08,5.4858264148,0.0319213661584,-0.00975514219599,1.88561808316,0.0
1.67984018662,8,0.0199142604794,0.0,1.0,0.666666666667,3,0.0208472327252,0.0199142604794,-0.674921947493,5.364698552,0.0622406466774,0.0208472327252,0.471404520791,0.0
1.69279104728,9,0.0228196105307,0.0,8.0,3.33333333333,3,0.00612070216063,0.0228196105307,-0.0186614160879,5.43462786038,0.162477559716,0.00612070216063,3.3993463424,0.0
1.6778489223,10,0.0177805202822,0.0,0.0,0.0,3,-0.00878753569094,0.0177805202822,0,5.35402664798,0.0,-0.00878753569094,0.0,0.0
1.68455316314,11,0.0135582630923,0.0,2.0,1.0,3,0.0135799352481,0.0135582630923,8.35345560501e-08,5.39004192476,0.498729744434,0.0135799352481,0.816496580928,0.0
1.67586241524,12,0.011861662166,0.0,2.0,1.0,3,-0.0118353069788,0.011861662166,-0.352626680215,5.34340139332,0.0447757906094,-0.0118353069788,0.816496580928,0.0
1.67384164846,13,0.0257451906662,0.0,0.0,0.0,3,0.00194947589185,0.0257451906662,0,5.33261452785,0.0,0.00194947589185,0.0,0.0
1.68628931168,14,0.0334644744963,0.0,0.0,0.0,3,-0.0,0.0334644744963,1,5.39940796626,0.0,-0.0,0.0,0.0
1.66471058746,15,0.0174719612703,0.0,2.0,0.666666666667,3,-0.0127243270707,0.0174719612703,9.14180841027e-08,5.28414373099,0.0157371588936,-0.0127243270707,0.942809041582,0.0
1.67970445859,16,0.00849599295676,0.016667674543,7.0,2.33333333333,3,-0.00375671948,0.00957354530349,0.138139464487,5.36397046143,0.237398993167,0.012910955063,3.29983164554,0.0
1.6914019401,17,0.0170602096841,0.0,10.0,3.66666666667,3,0.0201844727336,0.0170602096841,0.287891472819,5.42708382075,0.651308383737,0.0201844727336,4.49691252108,0.0
1.66270375685,18,0.0156293227506,0.0,1.0,0.333333333333,3,-0.0257323379869,0.0156293227506,-12.6021923315,5.27354998309,0.0191987967523,-0.0257323379869,0.471404520791,0.0
1.68119242569,19,0.00977031983898,0.0178588574369,0.0,0.0,3,0.00210268947084,0.00994775444883,0,5.37195781401,0.0,0.0199615469077,0.0,0.0
1.68608363846,20,0.0194846864754,0.0,1.0,0.333333333333,3,-0.00639968251879,0.0194846864754,2.79106909251e-07,5.39829756681,0.0333686247538,-0.00639968251879,0.471404520791,0.0
1.67125514828,21,0.0104774222741,0.0,1.0,0.333333333333,3,-0.00300267643962,0.0104774222741,0.155878067316,5.3188395416,0.0585824338304,-0.00300267643962,0.471404520791,0.0
1.70432673358,22,0.01789554152,0.0,2.0,0.666666666667,3,0.000523463907546,0.01789554152,0.00312396095567,5.49768301553,0.0456346621969,0.000523463907546,0.942809041582,0.0
1.70604324753,23,0.0084083035769,0.0184641881099,0.0,0.0,3,-0.0117034276801,0.0094024140849,0,5.50712796903,0.0,0.00676076042975,0.0,0.0
1.71347226566,24,0.0205427209107,0.0,10.0,5.66666666667,3,-0.000143027273718,0.0205427209107,3.29896454598e-09,5.54819286962,0.793704182424,-0.000143027273718,4.18993502999,0.0
1.70760191456,25,0.0115072685104,0.0,5.0,2.33333333333,3,0.00160779463626,0.0115072685104,-1.43884080933,5.5157184409,0.341994593955,0.00160779463626,1.88561808316,1.0
1.68609830918,26,0.013276365618,0.0,1.0,0.333333333333,3,0.00174091744025,0.013276365618,-2.07784513104,5.39837676431,0.0616015213162,0.00174091744025,0.471404520791,0.0
1.69563004541,27,0.0257414582979,0.0,3.0,1.0,3,0.000121300115991,0.0257414582979,0.158827337378,5.45007868077,0.638796912163,0.000121300115991,1.41421356237,0.0
1.6980947288,28,0.0237400780093,0.0,3.0,1.0,3,-0.00809503755922,0.0237400780093,0.131214061717,5.46352796647,0.290212483066,-0.00809503755922,1.41421356237,0.0
1.71210331597,29,0.0180875382423,0.0,6.0,2.0,3,0.0041158215445,0.0180875382423,0.107904784578,5.54060286905,0.931016575541,0.0041158215445,2.82842712475,0.0
