Perplexity,NumTrajs,LossBefore,Entropy,AverageDiscountedReturn,dLoss,MinReturn,LossAfter,AverageReturn,StdReturn,MaxReturn,Iteration,ExplainedVariance,MeanKLBefore,MeanKL
4.90109392866,3,-2.64001783397e-16,1.58945843095,-39.016226047,0.0204746769081,-7470.0,-0.0204746769081,-576.25,5548.87610617,6117.5,0,5.77315972805e-15,-5.531504502e-18,0.00993229873305
5.27642921384,3,1.61722487254e-16,1.66324958368,891.27795785,0.0170869391803,1186.25,-0.0170869391803,3950.83333333,2005.20373376,5880.0,1,0.0370030187052,-4.98080413136e-18,0.00907075015017
5.22792261255,3,6.94490761196e-16,1.65401399316,645.149507539,0.0361254830216,142.5,-0.0361254830216,4240.41666667,3540.04742396,8780.0,2,-1.69469167209,-1.14568851319e-19,0.00751790040471
5.22764624684,3,-3.8756035418e-16,1.65396112837,267.328267642,0.0234629575361,-1482.5,-0.0234629575361,2009.16666667,3485.10720383,6767.5,3,0.0877633909424,8.89497508846e-18,0.00747860805442
5.27375007294,3,1.56726483643e-16,1.66274169829,302.491144364,0.0301471721474,5.0,-0.0301471721474,3557.08333333,2908.8063727,7130.0,4,0.256094917557,-3.76592519896e-19,0.00869351275977
5.44205148396,3,-2.64834450666e-16,1.6941561008,89.0212311958,0.0250976424589,1342.5,-0.0250976424589,2944.58333333,1821.46013239,5492.5,5,-0.314173017012,-9.10202831662e-19,0.00835512681561
5.37402286652,3,1.18331270708e-16,1.68157676521,177.34003226,0.0363509301312,417.5,-0.0363509301312,3023.75,1889.24450288,4836.25,6,0.165163535195,1.6462923326e-18,0.00902539236949
5.33843241808,3,-2.79776202206e-16,1.67493205521,546.375345789,0.0260737148738,4217.5,-0.0260737148738,5911.25,2051.94902268,8798.75,7,-0.285303656255,-4.96385657782e-18,0.0083754094637
5.44905439,3,-4.41591208045e-16,1.6954420872,366.20987411,0.0255451832724,-7832.5,-0.0255451832724,2557.08333333,7447.5148493,9248.75,8,-0.270331108064,5.89697944119e-18,0.00795920908813
5.2811960332,3,-1.77913239696e-16,1.66415259351,-5.95054300905,0.0304572883074,1080.0,-0.0304572883074,2867.5,2121.95247159,5848.75,9,-1.34404055598,1.91326186887e-18,0.00961539921442
5.44422915481,3,-6.02527287323e-16,1.694556177,819.607532609,0.0235075271884,-1520.0,-0.0235075271884,3557.08333333,4713.44578632,9836.25,10,-0.227469412949,-1.71488789578e-18,0.0081030446666
5.27259762684,3,6.22097136536e-17,1.66252314943,615.116388544,0.0341408905313,-4857.5,-0.0341408905313,1240.41666667,6245.94521247,9823.75,11,0.438873744665,8.96838203385e-19,0.00700702416507
5.31024774466,3,-1.48584848129e-16,1.66963849041,534.4044409,0.0175230757345,-3276.25,-0.0175230757345,3932.08333333,5254.29718315,9098.75,12,0.426968457425,-2.17796980039e-19,0.0067206717178
5.15836331015,3,4.97749989374e-17,1.64061934122,1031.82498496,0.0304452966057,-607.5,-0.0304452966057,6294.58333333,4916.58633409,10473.75,13,0.702843002695,7.34906998335e-18,0.00709030612523
5.10276215375,3,-2.91063469623e-16,1.62978199189,155.672085551,0.0350636770743,-6151.25,-0.0350636770743,300.833333333,4834.67923071,5486.25,14,-0.4802818833,1.93298924547e-18,0.00981680562846
5.18896869101,3,1.48954922471e-16,1.64653496664,300.497972035,0.0338125156948,-2332.5,-0.0338125156948,1313.33333333,2602.6245434,3573.75,15,0.433758926293,2.05258758651e-18,0.00901105553754
5.3606671689,3,-4.76655751906e-16,1.67908843915,1270.73671779,0.0257061273938,4967.5,-0.0257061273938,7511.25,1822.47970953,9142.5,16,0.216209830429,3.76391636895e-18,0.0070529204204
5.38784691785,3,-4.62454149049e-16,1.68414584646,1282.26654632,0.0281781887794,2061.25,-0.0281781887794,6313.33333333,3866.90125905,11417.5,17,0.286706779993,-2.44651058231e-18,0.00777511333386
5.26533375387,3,-1.87997765503e-16,1.66114453463,890.998053733,0.0259865179948,5011.25,-0.0259865179948,7540.41666667,2095.45846548,10142.5,18,0.34416955015,3.31888843413e-18,0.00802871250846
5.34347603862,3,-1.46179364909e-16,1.67587638476,1418.16780248,0.0258765498647,6580.0,-0.0258765498647,7894.58333333,1832.64902001,10486.25,19,0.318584043413,2.36803600127e-18,0.00663975987816
5.11353062991,3,2.61272485128e-16,1.63189009125,-73.7613788945,0.0161175781477,-6645.0,-0.0161175781477,184.166666667,4854.7773221,4211.25,20,0.0544932401139,-6.24983669536e-18,0.00682332906571
4.76907605839,3,3.48795066903e-16,1.56215258769,-136.250633779,0.0278812309422,-8020.0,-0.0278812309422,-84.5833333333,5611.44276729,3948.75,21,0.472737252071,2.50639338539e-18,0.00862193233335
5.21269618417,3,-1.20274161001e-16,1.65109722367,2075.31451504,0.0198698077145,7955.0,-0.0198698077145,10077.9166667,1929.32639728,12623.75,22,-0.00810577931348,-3.66543681108e-18,0.00833504375099
5.25789170773,3,1.94404677541e-16,1.65973013038,1576.37858586,0.0236437437021,5148.75,-0.0236437437021,10040.4166667,3494.89707367,13098.75,23,0.450330477395,2.42734888226e-18,0.00954389682802
4.94401825523,3,1.56356409301e-16,1.59817841255,335.53052583,0.0202430367116,-8020.0,-0.0202430367116,625.833333333,6410.62824643,7311.25,24,-1.39029240886,3.70922013068e-18,0.00792749718693
5.12206665232,3,3.67483821151e-16,1.63355800064,1886.37555158,0.0224005123055,7780.0,-0.0224005123055,10286.25,2980.103291,14473.75,25,0.14453771572,7.13008816117e-18,0.00999942883986
