Entropy,dLoss,AverageReturn,Perplexity,Iteration,MeanKLBefore,MeanKL,MaxReturn,LossAfter,StdReturn,MinReturn,NumTrajs,LossBefore,ExplainedVariance,AverageDiscountedReturn
1.61423827018,0.0179698963435,-1507.5,5.0240594896,0,1.94932897922e-18,0.00680384251488,10218.75,-0.0179698963435,7261.15026184,-12525.0,10,2.41712205806e-16,4.66293670343e-15,-36.7766371411
1.63296801895,0.0207412083342,4002.5,5.11904561803,1,7.24706643269e-19,0.00870216086979,15468.75,-0.0207412083342,5775.90983093,-2793.75,10,5.19978504698e-16,0.0127385651035,273.502237132
1.62328605949,0.0129517529252,7486.875,5.06972238395,2,-1.18446492817e-18,0.00935868933423,19643.75,-0.0129517529252,5147.83514117,887.5,10,-1.10013109733e-15,0.323961714395,930.951655556
1.64277628148,0.0122866752289,6716.25,5.16950159963,3,3.26162077188e-18,0.00792055418948,16687.5,-0.0122866752289,5373.02521863,-2468.75,10,3.56749352282e-16,0.310142304466,922.817872324
1.65587271766,0.0126778077029,10961.875,5.23764891687,4,-1.06122852659e-18,0.00945984351248,19006.25,-0.0126778077029,5714.22050814,-675.0,10,-1.48525636234e-16,0.360298229455,1846.14958101
1.63798718873,0.0140077549219,10401.25,5.14480356479,5,4.58096977035e-18,0.00925242189957,19168.75,-0.0140077549219,6477.43125205,-1100.0,10,4.15101286677e-16,0.351323602907,1447.45212653
1.62653278779,0.0146324607355,10118.125,5.08620914464,6,2.5664321652e-18,0.00687735352666,19868.75,-0.0146324607355,7812.84521737,-2562.5,10,2.98500113516e-16,0.251516978207,1795.6337887
1.64708194286,0.0185526729427,10762.5,5.19180770985,7,-1.63790807044e-19,0.00789328043078,15087.5,-0.0185526729427,3834.57135805,4068.75,10,1.28069777006e-16,0.0350214180074,1295.87294419
1.64345777704,0.0180629967544,15317.5,5.17302579276,8,9.86004794597e-19,0.00856531903439,20231.25,-0.0180629967544,4808.81742219,3531.25,10,-3.98792110445e-17,0.633218420821,2243.27942682
1.61665924442,0.0161307986241,9300.625,5.03623734339,9,1.64927587206e-18,0.00822853887193,19500.0,-0.0161307986241,8080.79051768,-1843.75,10,1.12665432539e-16,0.150572708769,1497.0600801
1.62283993608,0.0120253650049,5626.25,5.06746116656,10,-3.0135364116e-18,0.00820007898032,16556.25,-0.0120253650049,6402.21079979,-1737.5,10,4.29167812399e-16,0.124523290878,1166.87781076
1.64066706454,0.0130626699839,15883.125,5.15860949021,11,-3.18422695518e-18,0.00638395987645,20531.25,-0.0130626699839,5271.61847331,2768.75,10,-1.15996101613e-16,0.381678746075,2421.30230883
1.62836711651,0.0188487302013,11144.375,5.09554748634,12,1.00224983925e-18,0.00984359756025,21556.25,-0.0188487302013,7658.95536386,-893.75,10,-1.93145499594e-16,0.22894170922,1746.71318272
1.61793641578,0.00815439699875,16578.75,5.04267359069,13,2.60503237194e-18,0.00571201227564,22300.0,-0.00815439699875,6495.3530264,-1612.5,10,-1.36446409726e-16,0.484325323025,2937.30727375
1.59485511349,0.0142723867102,13120.625,4.92761507544,14,1.06954263701e-18,0.00876823473576,19956.25,-0.0142723867102,6620.5657625,-718.75,10,3.54094531474e-16,0.278071285272,2351.16367923
1.58801124332,0.0187133344349,15961.25,4.89400625599,15,2.22474748058e-18,0.00745878690371,20268.75,-0.0187133344349,3126.27324062,10206.25,10,4.17887946469e-16,0.697268510147,2545.87228382
1.55948984276,0.0183600903293,15485.0,4.75639411717,16,-3.53738668243e-18,0.0099487832292,21900.0,-0.0183600903293,4393.72261727,9518.75,10,-6.80304423906e-16,0.655723829087,2682.6111268
1.5685193355,0.00787907466748,16320.625,4.7995364268,17,1.99798557838e-18,0.00967775636615,20700.0,-0.00787907466748,4460.53269836,5468.75,10,5.94857496594e-17,0.658985055676,2956.89372226
1.53625194094,0.0111716431639,15143.125,4.64713983421,18,8.44524590026e-18,0.00825639070813,21118.75,-0.0111716431639,4655.4860531,4543.75,10,-1.54576351719e-16,0.688721054989,2976.2354082
1.52881143221,0.00995585846778,16984.375,4.61269106681,19,-2.83318271411e-18,0.00722288669507,21106.25,-0.00995585846778,3180.15483359,9775.0,10,-1.90891746854e-16,0.830065754041,3305.31122573
1.52614145798,0.010366954737,14748.75,4.60039172729,20,1.64792317257e-18,0.00946738131672,22362.5,-0.010366954737,5040.91137593,8106.25,10,-7.80153719404e-17,0.65652122218,3221.71350597
1.50520592382,0.0124620058237,13236.25,4.50508123832,21,-9.46781795502e-19,0.00880161481706,22006.25,-0.0124620058237,5988.9219345,-925.0,10,5.27550225726e-17,0.541158188846,2648.5700122
1.50398820406,0.0103626818656,14873.75,4.49959865067,22,-7.64018085537e-19,0.00930893335451,18718.75,-0.0103626818656,3058.80235958,7843.75,10,-7.9034556677e-16,0.802111074696,3127.93190758
1.47878455746,0.0102724980698,15381.25,4.38760955141,23,1.65575846985e-17,0.00984065595118,22012.5,-0.0102724980698,5278.7235081,5293.75,10,-1.94255722619e-16,0.660648423758,3263.18699027
1.50827682669,0.00938883499638,12193.125,4.51893716945,24,2.51167358583e-19,0.00859881269917,22050.0,-0.00938883499638,5938.69491266,1737.5,10,1.38766775848e-16,0.548194505459,2789.65258209
1.48379090388,0.0105999365406,13673.125,4.40963052106,25,6.61293712356e-18,0.0057156167218,21581.25,-0.0105999365406,4310.12529727,5206.25,10,-7.51521067599e-16,0.708854800238,3007.71664399
