MinReturn,Iteration,NumTrajs,ExplainedVariance,Entropy,Perplexity,MeanKL,LossAfter,dLoss,AverageDiscountedReturn,StdReturn,MaxReturn,MeanKLBefore,LossBefore,AverageReturn
0.0,0,3,4.18554080284e-14,1.56555486819,4.78532942647,0.00628362130826,-0.0220945978393,0.0220945978393,1115.30982743,2357.02260396,5000.0,4.04889477197e-18,-1.62101813454e-15,1666.66666667
0.0,1,3,0.267903923625,1.58241677703,4.86670334679,0.00481863714666,-0.0364820257249,0.0364820257249,965.544043707,1885.61808316,4000.0,3.79965663523e-18,-1.74767607793e-16,1333.33333333
4000.0,2,3,-1.02536494591,1.54439890813,4.68515457211,0.0070256262217,-0.0182669928062,0.0182669928062,1600.64098159,1885.61808316,8000.0,-7.96424421135e-18,1.83371836234e-16,5333.33333333
4000.0,3,3,-0.0252469268348,1.5521385692,4.7215567692,0.00625755087104,-0.0170713892472,0.0170713892472,2554.25410185,471.404520791,5000.0,-1.44113646327e-17,7.53563877964e-17,4333.33333333
4000.0,4,3,0.16725042111,1.54795775625,4.70185803057,0.00791620768944,-0.022085145505,0.022085145505,1735.18335454,0.0,4000.0,-5.89331167314e-18,1.79671092819e-16,4000.0
0.0,5,3,-0.265672998473,1.54859654262,4.70486247291,0.00821327855721,-0.0183435345531,0.0183435345531,1832.28846882,2867.44175568,7000.0,1.24560115146e-18,1.1819249283e-16,3333.33333333
0.0,6,3,0.443095476026,1.52587038189,4.59914484013,0.00676885308935,-0.0170005157551,0.0170005157551,1635.49161816,2160.24689947,5000.0,9.77656249717e-18,-7.77156117238e-18,3000.0
0.0,7,3,0.291058089617,1.54558339777,4.69070737717,0.00773923442532,-0.0280389161674,0.0280389161674,1594.70404399,2494.43825785,6000.0,-4.5056537196e-18,-4.4408920985e-18,3333.33333333
4000.0,8,3,0.515844621815,1.54930740468,4.70820817016,0.00661196748093,-0.0231548603722,0.0231548603722,2936.3756467,816.496580928,6000.0,1.13503938687e-17,-1.59432652265e-16,5000.0
0.0,9,3,0.330199859421,1.54772015382,4.7007409904,0.00655350764361,-0.0152640496878,0.0152640496878,2601.16506641,3741.65738677,9000.0,5.16366888689e-18,-2.0460485158e-16,5000.0
0.0,10,3,0.00332292549114,1.47815383012,4.38484303864,0.00469693625061,-0.0163777132533,0.0163777132533,1769.17370136,2867.44175568,7000.0,2.26326617841e-18,6.29126380621e-17,3333.33333333
5000.0,11,3,0.0473207238506,1.44533850373,4.24328826863,0.00741268579559,-0.0196457390256,0.0196457390256,2763.02578846,2054.80466766,10000.0,2.98588155764e-18,-6.14785999886e-17,7333.33333333
0.0,12,3,0,1.47654454772,4.3777922628,0.00329875626608,-0.0122518706422,0.0122518706422,0.0,0.0,0.0,1.92581935765e-17,1.55616260618e-16,0.0
0.0,13,3,9.32587340685e-15,1.52659048309,4.60245788254,0.00856794472623,-0.0141964524481,0.0141964524481,2377.82271129,3741.65738677,9000.0,-7.9209606607e-20,2.25171733111e-15,5000.0
8000.0,14,3,0.327361000406,1.52343031422,4.58793629583,0.00735192584678,-0.0212108760204,0.0212108760204,3640.26210893,471.404520791,9000.0,6.32602857741e-18,-3.35148575559e-17,8333.33333333
0.0,15,3,-0.0188340478363,1.48601300246,4.41944004962,0.00955207438644,-0.0254733244252,0.0254733244252,2385.57620206,3559.02608401,8000.0,-2.78746086687e-18,-7.71142409188e-17,5000.0
8000.0,16,3,0.399062015741,1.45827344359,4.29853146066,0.00651006828404,-0.0306133250173,0.0306133250173,3459.85481311,0.0,8000.0,-5.15386306761e-18,-2.66939248483e-16,8000.0
7000.0,17,3,0.324196060577,1.52846122652,4.611075959,0.00862442444175,-0.0216988686187,0.0216988686187,3595.74885993,1247.21912892,10000.0,-4.33700366357e-18,6.85909662401e-17,8333.33333333
7000.0,18,3,0.323762847284,1.50268812215,4.49375260485,0.0057453295531,-0.0163797316785,0.0163797316785,3919.4317113,1247.21912892,10000.0,-5.8970273409e-18,5.05382772668e-17,8666.66666667
5000.0,19,3,0.596101114589,1.52781522938,4.60809817902,0.00685644577971,-0.0224159885322,0.0224159885322,4092.04078794,2160.24689947,10000.0,-2.08236549094e-19,-5.59737441582e-17,7000.0
7000.0,20,3,0.698569855576,1.51796508049,4.56293054504,0.00823037938903,-0.0170876742479,0.0170876742479,4147.78827915,0.0,7000.0,-4.3444912274e-18,6.26813415986e-18,7000.0
6000.0,21,3,0.417200833678,1.4820610207,4.40200896951,0.00905807212298,-0.0240844539199,0.0240844539199,3279.58244306,942.809041582,8000.0,1.46405110476e-18,-1.70696790036e-17,7333.33333333
4000.0,22,3,0.506100974381,1.44605434033,4.24632685714,0.00845563645786,-0.0248919419868,0.0248919419868,4298.4782911,2357.02260396,9000.0,2.40002165606e-18,-4.70919599612e-17,7333.33333333
0.0,23,3,-3.71820332941,1.41078496597,4.09917185192,0.00825285825666,-0.0261728203587,0.0261728203587,2186.50688632,4496.91252108,10000.0,-9.802900326e-18,-4.32894461018e-16,6333.33333333
7000.0,24,3,0.148456023058,1.50603175374,4.50880320586,0.00787376429029,-0.0157095281215,0.0157095281215,3535.48058568,816.496580928,9000.0,-5.20626727256e-18,-2.33355001988e-16,8000.0
6000.0,25,3,0.40632747579,1.51248182911,4.53797931926,0.00707486738409,-0.0186960827954,0.0186960827954,3702.92255918,1247.21912892,9000.0,-1.57738831391e-18,-1.36372394858e-16,7666.66666667
