Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
29,-0.925586226568,4280.0,-5526.25,0.0164787021063,-0.00618313616142,4107.23552777,-0.0226618382677,0.00937139753819,4.64969449852,-57.5059127097,-1272.08333333,1.5368015182,3,0.00803160299317
30,-0.665804527393,-3095.0,-8020.0,0.0,-0.00359059039906,2318.72660216,-0.00359059039906,0.0127734851577,4.42440197336,-525.0502675,-6374.16666667,1.48713512206,3,0.0127734851577
31,-0.330579011767,-2932.5,-6538.75,0.0,0.00243321913982,1478.33603438,0.00243321913982,0.0124265026817,4.70154847041,-690.387575658,-4640.83333333,1.54789191625,3,0.0124265026817
32,-0.182181078255,5711.25,-5538.75,0.0232771963737,-0.0159384060533,4663.20183875,-0.039215602427,0.0087857196118,4.57004760198,241.219856062,657.083333333,1.51952362104,3,0.00658627926076
33,-1.299289555,1467.5,-6820.0,0.0,9.8124483361e-05,3387.52306265,9.8124483361e-05,0.0138324540659,4.77083410809,-409.982983402,-2557.5,1.56252115504,3,0.0138324540659
34,0.259083926409,4723.75,-8020.0,0.0183181610896,-0.00325735095406,6007.46136183,-0.0215755120437,0.00944644643307,4.2111786486,-341.379468646,-3772.08333333,1.43774257255,3,0.00802508374773
35,-0.172956514412,-5882.5,-8020.0,0.0166474131132,0.00571478399441,881.360808636,-0.0109326291188,0.00905846558859,4.24388654915,-789.404521798,-7038.75,1.44547948834,3,0.0064680376334
36,0.709615330555,-5207.5,-8020.0,0.0,-0.00183859935732,1325.82521472,-0.00183859935732,0.0105972604428,4.24304154422,-881.676152483,-7082.5,1.44528035741,3,0.0105972604428
37,-0.65756040866,8217.5,217.5,0.0,0.00577440706795,3486.32746119,0.00577440706795,0.0167478395168,4.63766936929,1733.16787418,5080.0,1.53421194895,3,0.0167478395168
38,0.0807381428656,2748.75,-8020.0,0.0105163789107,0.0061532324252,4771.53106252,-0.00436314648547,0.00995518726426,4.22153264407,112.164887257,-1324.16666667,1.44019824791,3,0.00944163962655
39,-1.26839725252,-688.75,-8020.0,0.0,-0.00629977782799,3312.15800121,-0.00629977782799,0.0143239598906,4.60461784031,-122.766865659,-3351.25,1.52705967827,3,0.0143239598906
40,0.124084076368,3455.0,-8020.0,0.00721764446246,-0.00295674956131,5409.36687608,-0.0101743940238,0.00858281879825,4.00924875162,-437.052068339,-4195.0,1.38860388003,3,0.00498717536841
41,-3.62777425568,-1601.25,-4795.0,0.0,0.00419886649639,1341.76047809,0.00419886649639,0.0135935737289,4.42004589775,-611.301833563,-3422.08333333,1.48615008014,3,0.0135935737289
