7815 1501076406 0 0 0 0 0 0
7825 1501076406 0 0 0 0 0 0
7835 1501076406 0 0 0 0 0 0
7845 1501076406 0 0 0 0 0 0
7855 1501076406 0 0 0 0 0 0
7865 1501076407 0 0 0 0 0 0
7875 1501076407 0 0 0 0 0 0
7885 1501076407 0 0 0 0 0 0
7895 1501076407 0 0 0 0 0 0
7905 1501076407 0 0 0 0 0 0
7915 1501076408 0 0 0 0 0 0
7925 1501076408 0 0 0 0 0 0
7935 1501076408 0 0 0 0 0 0
7945 1501076408 0 0 0 0 0 0
7955 1501076408 0 0 0 0 0 0
7965 1501076409 0 0 0 0 0 0
7975 1501076409 0 0 0 0 0 0
7985 1501076409 0 0 0 0 0 0
7995 1501076409 0 0 0 0 0 0
8005 1501076409 0 0 0 0 0 0
8015 1501076410 0 0 0 0 0 0
8025 1501076410 0 0 0 0 0 0
8035 1501076410 0 0 0 0 0 0
8045 1501076410 0 0 0 0 0 0
8055 1501076410 0 0 0 0 0 0
8065 1501076411 0 0 0 0 0 0
8075 1501076411 0 0 0 0 0 0
8085 1501076411 0 0 0 0 0 0
8095 1501076411 0 0 0 0 0 0
8105 1501076411 0 0 0 0 0 0
8115 1501076412 0 0 0 0 0 0
8125 1501076412 0 0 0 0 0 0
8135 1501076412 0 0 0 0 0 0
8145 1501076412 0 0 0 0 0 0
8155 1501076412 0 0 0 0 0 0
8165 1501076413 0 0 0 0 0 0
8175 1501076413 0 0 0 0 0 0
8185 1501076413 0 0 0 0 0 0
8195 1501076413 0 0 0 0 0 0
8205 1501076413 0 0 0 0 0 0
8215 1501076414 0 0 0 0 0 0
8225 1501076414 0 0 0 0 0 0
8235 1501076414 0 0 0 0 0 0
8245 1501076414 0 0 0 0 0 0
8255 1501076414 0 0 0 0 0 0
8265 1501076415 0 0 0 0 0 0
8275 1501076415 0 0 0 0 0 0
8285 1501076415 0 0 0 0 0 0
8295 1501076415 0 0 0 0 0 0
8305 1501076415 0 0 0 0 0 0
8315 1501076416 0 0 0 0 0 0
8325 1501076416 0 0 0 0 0 0
8335 1501076416 0 0 0 0 0 0
8345 1501076416 0 0 0 0 0 0
8355 1501076416 0 0 0 0 0 0
8365 1501076417 0 0 0 0 0 0
8375 1501076417 0 0 0 0 0 0
8385 1501076417 0 0 0 0 0 0
8395 1501076417 0 0 0 0 0 0
8405 1501076417 0 0 0 0 0 0
8415 1501076418 0 0 0 0 0 0
8425 1501076418 0 0 0 0 0 0
8435 1501076418 0 0 0 0 0 0
8445 1501076418 0 0 0 0 0 0
8455 1501076418 0 0 0 0 0 0
8465 1501076419 0 0 0 0 0 0
8475 1501076419 0 0 1 0 0 0
8485 1501076419 0 -1 2 -1 0 0
8495 1501076419 0 -2 4 -2 0 0
8505 1501076419 0 -3 5 -3 -1 0
8515 1501076420 0 -4 7 -4 -2 0
8525 1501076420 0 -4 7 -4 -2 0
8535 1501076420 0 -5 9 -4 -3 0
8545 1501076420 1 -5 9 -4 -3 0
8555 1501076420 1 -5 9 -4 -3 0
8565 1501076421 0 -4 9 -3 -3 0
8575 1501076421 0 -3 8 -2 -2 0
8585 1501076421 0 -1 6 -1 -1 0
8595 1501076421 0 0 3 0 0 0
8605 1501076421 0 0 2 0 0 0
8615 1501076422 -1 2 0 1 1 0
8625 1501076422 -1 3 0 2 1 0
8635 1501076422 0 3 0 2 1 0
8645 1501076422 0 3 0 2 0 0
8655 1501076422 0 3 0 1 0 0
8665 1501076423 0 3 0 1 0 0
8675 1501076423 0 3 1 1 0 0
8685 1501076423 0 2 1 1 0 0
8695 1501076423 0 2 1 1 0 0
8705 1501076423 0 2 0 1 0 0
8715 1501076424 1 3 -2 0 0 0
8725 1501076424 1 3 -4 0 0 0
8735 1501076424 2 4 -8 0 1 0
8745 1501076424 3 5 -10 0 2 0
8755 1501076424 4 7 -15 -1 2 0
8765 1501076425 5 8 -18 -2 3 0
8775 1501076425 6 8 -20 -2 3 0
8785 1501076425 8 8 -21 -3 3 0
8795 1501076425 8 8 -22 -3 2 0
8805 1501076425 10 8 -24 -4 2 -1
8815 1501076426 12 8 -27 -5 1 -2
8825 1501076426 13 8 -29 -6 1 -2
8835 1501076426 16 10 -36 -9 2 -3
8845 1501076426 17 11 -41 -10 3 -3
8855 1501076426 20 13 -51 -14 5 -4
8865 1501076427 22 15 -60 -16 7 -4
8875 1501076427 23 16 -63 -18 7 -4
8885 1501076427 23 16 -66 -18 8 -4
8895 1501076427 23 16 -64 -18 8 -4
8905 1501076427 20 13 -56 -16 7 -4
8915 1501076428 17 12 -49 -14 6 -3
8925 1501076428 12 7 -33 -9 3 -2
8935 1501076428 5 3 -15 -4 1 -1
8945 1501076428 2 1 -7 -2 0 -1
8955 1501076428 -1 -1 3 0 0 0
8965 1501076429 -3 -1 6 1 0 0
8975 1501076429 -4 -2 6 2 0 0
8985 1501076429 -3 -1 0 0 1 0
8995 1501076429 -2 -1 -3 0 2 0
9005 1501076429 -1 0 -12 -3 4 -1
9015 1501076430 0 -1 -16 -5 5 -2
9025 1501076430 0 -2 -20 -7 6 -3
9035 1501076430 -1 -5 -19 -9 6 -4
9045 1501076430 -1 -6 -18 -9 5 -5
9055 1501076430 -3 -9 -13 -9 3 -5
9065 1501076431 -3 -9 -11 -8 2 -5
9075 1501076431 -4 -9 -7 -7 0 -4
9085 1501076431 -5 -7 -5 -4 -1 -2
9095 1501076431 -5 -6 -6 -3 -1 -1
9105 1501076431 -6 -3 -7 -1 -1 0
9115 1501076432 -7 -1 -7 -1 -1 0
9125 1501076432 -8 0 -8 0 0 0
9135 1501076432 -8 0 -7 0 0 0
9145 1501076432 -7 -1 -5 0 1 0
9155 1501076432 -5 -2 -1 0 1 0
9165 1501076433 -3 -2 0 0 1 0
9175 1501076433 0 -2 2 0 0 -1
9185 1501076433 0 -2 3 0 0 -1
9195 1501076433 2 0 3 0 0 0
9205 1501076433 3 0 2 0 -1 0
9215 1501076434 2 1 1 0 -1 0
9225 1501076434 1 2 0 1 0 0
9235 1501076434 0 2 -1 1 0 0
9245 1501076434 0 1 -1 0 0 0
9255 1501076434 -1 0 0 0 0 0
9265 1501076435 -1 0 0 0 0 0
9275 1501076435 0 0 0 0 0 0
9285 1501076435 0 0 1 0 0 0
9295 1501076435 0 0 1 0 0 0
9305 1501076435 1 0 1 0 0 0
9315 1501076436 1 0 0 0 0 0
9325 1501076436 0 1 0 0 0 0
9335 1501076436 0 1 0 0 0 0
9345 1501076436 0 1 0 0 0 0
9355 1501076436 0 0 0 0 0 0
9365 1501076437 0 0 0 0 0 0
9375 1501076437 0 0 0 0 0 0
9385 1501076437 0 0 0 0 0 0
9395 1501076437 0 0 0 0 0 0
9405 1501076437 0 0 0 0 0 0
9415 1501076438 0 0 0 0 0 0
9425 1501076438 0 0 0 0 0 0
9435 1501076438 0 0 0 0 0 0
