dLoss,MeanKLBefore,Entropy,AverageReturn,AverageDiscountedReturn,StdReturn,Iteration,LossAfter,MaxReturn,ExplainedVariance,MinReturn,MeanKL,LossBefore,NumTrajs,Perplexity
0.0,0.0101823593911,1.6134237361,4.33333333333,0.437227210246,3.09120616517,0,-0.00777821143294,7.0,5.53006729298e-09,0.0,0.0101823593911,-0.00777821143294,3,5.01996888813
0.0,0.0104717723137,1.57657127847,1.0,0.228164054866,1.41421356237,1,-0.0102393872704,3.0,-4.64211939643,0.0,0.0104717723137,-0.0102393872704,3,4.83833802486
0.0175784752126,0.0073001562515,1.55174068067,1.0,0.0282277694449,1.41421356237,2,-0.023380888448,3.0,0.0769221559341,0.0,0.00988522229337,-0.00580241323544,3,4.71967848961
0.0121256978735,0.00906131898477,1.51386920111,0.0,0.0,0.0,3,-0.0199384406241,0.0,0,0.0,0.00992668283575,-0.00781274275054,3,4.54427955408
0.0,0.0133773620307,1.54628126308,2.0,0.590387215334,2.82842712475,4,-0.0185835144485,6.0,1.18157192919e-08,0.0,0.0133773620307,-0.0185835144485,3,4.69398200162
0.0,0.0135693475512,1.59057798759,4.0,0.391223985327,1.63299316186,5,0.00418306032273,6.0,-0.134820835198,2.0,0.0135693475512,0.00418306032273,3,4.90658405362
0.00802203154197,0.00960027144532,1.54434031622,0.666666666667,0.0163338919027,0.942809041582,6,-0.0234708328885,2.0,-0.611045456923,0.0,0.00994651182359,-0.0154488013465,3,4.68488006803
0.0,0.0110832133302,1.59591403932,4.33333333333,0.815161689623,3.09120616517,7,0.00720813123876,7.0,0.258803522232,0.0,0.0110832133302,0.00720813123876,3,4.93283581803
0.0,0.0112575021935,1.5583845868,2.66666666667,0.1439008352,3.77123616633,8,-0.0249562807581,8.0,0.0538195314214,0.0,0.0112575021935,-0.0249562807581,3,4.75113998837
0.0,0.0100313198573,1.5452503461,1.66666666667,0.152110674862,2.35702260396,9,-0.00471272349823,5.0,0.0900516573038,0.0,0.0100313198573,-0.00471272349823,3,4.68914538933
0.0,0.0104130887985,1.6075468257,4.33333333333,0.184737021248,2.49443825785,10,-0.026024460038,7.0,0.0156034301391,1.0,0.0104130887985,-0.026024460038,3,4.99055350121
0.0,0.00962708404529,1.53551691716,3.66666666667,0.599903277884,2.62466929134,11,-0.01527602063,6.0,-0.504563110295,0.0,0.00962708404529,-0.01527602063,3,4.64372533095
0.0,0.00949730389494,1.5538129631,2.33333333333,0.071504146481,3.29983164554,12,-0.00522498613347,7.0,0.55610305256,0.0,0.00949730389494,-0.00522498613347,3,4.72946913743
0.0,0.0129030644556,1.54806663976,3.0,1.0390229307,2.44948974278,13,-0.0159900243763,6.0,0.277096878626,0.0,0.0129030644556,-0.0159900243763,3,4.70237001326
0.0,0.0143498342166,1.58274397286,4.0,0.316360954488,3.74165738677,14,-0.0161592551587,9.0,0.197591795859,0.0,0.0143498342166,-0.0161592551587,3,4.86829597236
0.0,0.0153311202475,1.56082062301,6.33333333333,0.903630589504,5.79271573233,15,-0.0250801441827,14.0,-0.0965342909307,0.0,0.0153311202475,-0.0250801441827,3,4.76272804615
0.0120074624635,0.00873678093208,1.58699508038,7.0,2.61685382545,6.16441400297,16,-0.024928701696,15.0,-0.0142111034446,0.0,0.00949950443202,-0.0129212392325,3,4.88903567408
0.0,0.0117617487048,1.52802878413,1.33333333333,0.20378415641,1.88561808316,17,-0.0200946170335,4.0,-2.08239239707,0.0,0.0117617487048,-0.0200946170335,3,4.60908236536
0.0,0.0126952029575,1.50098019997,0.0,0.0,0.0,18,-0.0141524196052,0.0,0,0.0,0.0126952029575,-0.0141524196052,3,4.48608417554
0.0,0.016514455893,1.60429721313,3.0,0.265684534809,2.44948974278,19,-0.0172361918538,6.0,1.26270333078e-08,0.0,0.016514455893,-0.0172361918538,3,4.97436245737
0.0,0.0204475566257,1.57784459615,5.66666666667,0.381669830067,4.10960933531,20,-6.08416669825e-05,11.0,0.104651178499,1.0,0.0204475566257,-6.08416669825e-05,3,4.8445026902
0.0,0.0103204780449,1.56132125189,5.66666666667,0.677145694318,4.0276819912,21,-0.0111731897536,9.0,0.25823520027,0.0,0.0103204780449,-0.0111731897536,3,4.76511300229
0.0,0.0184169809699,1.54046557729,5.0,0.253291821276,3.55902608401,22,-0.0142371477761,8.0,0.260386921755,0.0,0.0184169809699,-0.0142371477761,3,4.66676250393
0.0,0.0134252946592,1.62085493529,8.66666666667,0.74690949096,3.77123616633,23,-0.0245396270466,14.0,-0.182108230316,6.0,0.0134252946592,-0.0245396270466,3,5.057412229
0.0,0.0176563085352,1.57390168453,0.0,0.0,0.0,24,0.0117994573187,0.0,0,0.0,0.0176563085352,0.0117994573187,3,4.82543885243
0.0,0.0152095343173,1.53773002587,3.66666666667,0.580375977814,2.86744175568,25,-0.0140255146838,7.0,7.73232611273e-09,0.0,0.0152095343173,-0.0140255146838,3,4.65401378045
0.0,0.0157431442083,1.57981347943,7.66666666667,2.06704614928,5.43650214343,26,0.00320753588803,12.0,0.273495650157,0.0,0.0157431442083,0.00320753588803,3,4.85405034657
0.0,0.0174723430752,1.61595872712,6.0,0.527530654364,0.816496580928,27,-0.0133104237238,7.0,-0.427841534553,5.0,0.0174723430752,-0.0133104237238,3,5.03271060743
0.0,0.0165104449184,1.60952307637,8.33333333333,1.99277876876,2.05480466766,28,-0.0244683364784,11.0,-0.135264377081,6.0,0.0165104449184,-0.0244683364784,3,5.00042583781
