MinReturn,AverageReturn,MeanKLBefore,AverageDiscountedReturn,MaxReturn,Entropy,NumTrajs,LossBefore,Perplexity,MeanKL,Iteration,ExplainedVariance,StdReturn,dLoss,LossAfter
0.0,2666.66666667,3.37467965857e-18,102.062138612,5000.0,1.66286917522,3,-2.05446770707e-15,5.27442239727,0.00707785540211,0,1.38777878078e-14,2054.80466766,0.0412036260595,-0.0412036260595
1000.0,4666.66666667,-2.92578404886e-18,1448.4058882,7000.0,1.57342651957,3,-1.2446062699e-16,4.82314651767,0.00705396761986,1,-0.599801176695,2624.66929134,0.028803796643,-0.028803796643
0.0,2666.66666667,2.64448837209e-18,426.822020457,4000.0,1.6030988559,3,3.77938421299e-16,4.96840496446,0.00967011773638,2,-0.918778436815,1885.61808316,0.0389421601644,-0.0389421601644
3000.0,5666.66666667,2.31585975343e-18,1125.6898571,10000.0,1.60770824059,3,7.38298311376e-17,4.99135911589,0.0095032844486,3,0.119466302541,3091.20616517,0.0386719555999,-0.0386719555999
8000.0,9333.33333333,4.9215721637e-18,2114.1901505,10000.0,1.58544813952,3,2.15420852453e-16,4.88147847181,0.00926059300876,4,0.0838325398352,942.809041582,0.036136243127,-0.036136243127
5000.0,8000.0,-3.1187205684e-18,1969.44730015,10000.0,1.58294069734,3,3.8654264974e-16,4.86925377959,0.00706445125615,5,0.410503418182,2160.24689947,0.0282360771253,-0.0282360771253
6000.0,8000.0,4.54417656822e-18,3290.68262863,10000.0,1.48726018885,3,-1.4155343564e-17,4.42495535371,0.00841326254028,6,-0.0226333519686,1632.99316186,0.0344969972353,-0.0344969972353
8000.0,9333.33333333,1.70342508225e-19,2400.65291277,11000.0,1.62991917648,3,-6.01370805005e-18,5.10346222209,0.00858125848839,7,0.0898977895699,1247.21912892,0.0304540191645,-0.0304540191645
8000.0,10000.0,-4.08172975386e-18,3072.26901028,12000.0,1.61306148822,3,-3.67957978901e-16,5.01815074436,0.00775986042797,8,0.248997641193,1632.99316186,0.0386367550251,-0.0386367550251
8000.0,10666.6666667,5.56808936559e-18,2923.51732626,14000.0,1.59840147601,3,2.14088006582e-16,4.94512120808,0.00923771096456,9,0.29707567501,2494.43825785,0.0319738346936,-0.0319738346936
9000.0,10333.3333333,1.51202983013e-18,3136.14830852,12000.0,1.6164301331,3,-1.07321559047e-17,5.03508361656,0.0085763414285,10,0.452707661288,1247.21912892,0.0300918297085,-0.0300918297085
10000.0,10000.0,-1.76017596804e-18,3511.24317882,10000.0,1.61816153165,3,-1.61916243217e-16,5.04380890437,0.00734397907308,11,-0.103677386699,0.0,0.0241603915398,-0.0241603915398
9000.0,10000.0,-4.40148408413e-18,2601.08205591,12000.0,1.63931810201,3,7.14243479176e-17,5.15165541078,0.00753709177416,12,0.441081373381,1414.21356237,0.0294862133458,-0.0294862133458
9000.0,9666.66666667,2.4150862881e-18,3807.38793175,11000.0,1.62398976521,3,-8.95117313604e-17,5.07329123217,0.00997204060361,13,0.505375513264,942.809041582,0.0154687001913,-0.0154687001913
7000.0,8666.66666667,1.77982099732e-19,2074.60430712,10000.0,1.632471968,3,-5.94894504028e-17,5.11650694032,0.00978833500115,14,-0.145865317898,1247.21912892,0.0334681635414,-0.0334681635414
7000.0,9666.66666667,8.26671319462e-19,1985.65538843,13000.0,1.6253388521,3,-2.98835030795e-17,5.08014016173,0.00703060918123,15,0.213633746669,2494.43825785,0.0297921123734,-0.0297921123734
9000.0,9666.66666667,3.98172661525e-19,2337.45792939,10000.0,1.61394049448,3,1.16388380415e-16,5.02256366952,0.0085898922824,16,0.512385448553,471.404520791,0.0507639840741,-0.0507639840741
8000.0,8666.66666667,4.03122966063e-18,1972.81081794,10000.0,1.62412594457,3,-1.30266168223e-16,5.07398215677,0.00836088695497,17,0.488592246056,942.809041582,0.0386367863872,-0.0386367863872
4000.0,8333.33333333,3.14152312042e-18,3322.00579339,11000.0,1.48553357137,3,1.14352971536e-16,4.41732174049,0.00716274047267,18,0.393685935819,3091.20616517,0.0393107823278,-0.0393107823278
7000.0,8666.66666667,2.92042106435e-18,3594.11812073,11000.0,1.55821739013,3,1.85037170771e-16,4.75034567996,0.00783682991123,19,0.551032568845,1699.6731712,0.0274949119594,-0.0274949119594
10000.0,11000.0,3.62412748986e-18,3324.91006269,12000.0,1.60420336912,3,7.06841992345e-17,4.97389566516,0.00647568050981,20,0.21411565835,816.496580928,0.0348587135125,-0.0348587135125
3000.0,6333.33333333,5.36682220431e-18,2075.67419908,9000.0,1.53898658123,3,8.54871728961e-17,4.65986548215,0.00945791808382,21,0.116568661814,2494.43825785,0.0437562446014,-0.0437562446014
4000.0,8333.33333333,5.93894759736e-19,2895.33065595,11000.0,1.54515279087,3,1.92057018437e-16,4.68868796101,0.00922045231869,22,0.558160836915,3091.20616517,0.0388331713123,-0.0388331713123
10000.0,11333.3333333,-4.72226426849e-18,3922.63539799,13000.0,1.63183954349,3,-3.21502084214e-17,5.11327215891,0.00932905632903,23,0.725506305666,1247.21912892,0.0385096409052,-0.0385096409052
7000.0,9000.0,-3.32460838301e-18,3080.75065789,11000.0,1.63460359646,3,8.71525074331e-17,5.12742506467,0.00847831100507,24,0.436983340153,1632.99316186,0.0346390534732,-0.0346390534732
7000.0,8333.33333333,3.76735700451e-18,3705.40558691,11000.0,1.40765764813,3,1.50691091549e-16,4.08637246296,0.00659007979192,25,0.493847288689,1885.61808316,0.0261112461639,-0.0261112461639
