StdReturn,ExplainedVariance,dLoss,MinReturn,Entropy,Iteration,LossBefore,MaxReturn,AverageDiscountedReturn,MeanKL,LossAfter,Perplexity,NumTrajs,AverageReturn,MeanKLBefore
2357.02260396,1.0325074129e-14,0.0,0.0,1.69015321131,0,0.00475478148814,5000.0,210.832897991,0.0220779215416,0.00475478148814,5.42031109448,3,3333.33333333,0.0220779215416
471.404520791,-1.04505783948,0.0,1000.0,1.7041845222,1,-0.0107532574705,2000.0,101.710306216,0.0226136534042,-0.0107532574705,5.49690123806,3,1666.66666667,0.0226136534042
1885.61808316,0.0992425000341,0.0,2000.0,1.72260989442,2,-0.00540435801569,6000.0,242.399801965,0.0158808487426,-0.00540435801569,5.59912253015,3,3333.33333333,0.0158808487426
2160.24689947,0.176526992936,0.0,4000.0,1.71363427,3,0.00856382008817,9000.0,633.077673348,0.0182711545723,0.00856382008817,5.54909177376,3,6000.0,0.0182711545723
2054.80466766,-0.271988644063,0.0,2000.0,1.7104389865,4,-0.0106049610701,7000.0,635.924153342,0.0166327345528,-0.0106049610701,5.5313891499,3,4333.33333333,0.0166327345528
3299.83164554,0.418822951186,0.0,0.0,1.70723089111,5,0.0230167430225,7000.0,1395.87746805,0.0178026837713,0.0230167430225,5.51367235965,3,4666.66666667,0.0178026837713
942.809041582,-0.166492589171,0.0,4000.0,1.71110967845,6,0.00383553182457,6000.0,613.226923482,0.0166182344101,0.00383553182457,5.53510025241,3,4666.66666667,0.0166182344101
2054.80466766,0.202050179783,0.0,4000.0,1.6961564315,7,-0.00278328849327,9000.0,799.94848249,0.0208053689411,-0.00278328849327,5.45294828158,3,6333.33333333,0.0208053689411
2449.48974278,-0.242824706646,0.0,0.0,1.70025633618,8,-0.025179807167,6000.0,349.33651541,0.0197831698892,-0.025179807167,5.47535074233,3,3000.0,0.0197831698892
816.496580928,0.213885826521,0.0,4000.0,1.71111754513,9,0.00666985237212,6000.0,498.202751121,0.0152529854206,0.00666985237212,5.53514379546,3,5000.0,0.0152529854206
3559.02608401,-0.190193691115,0.0,1000.0,1.70902205378,10,0.0015267658072,9000.0,1262.28208396,0.0196820136593,0.0015267658072,5.5235570937,3,6000.0,0.0196820136593
0.0,-2.37188587182,0.0,3000.0,1.71022642421,11,-0.0132437190033,3000.0,216.081774837,0.0147142587703,-0.0132437190033,5.5302135101,3,3000.0,0.0147142587703
1699.6731712,-0.351431694558,0.0,2000.0,1.71768815024,12,0.0124111252979,6000.0,1115.11609417,0.0110820585008,0.0124111252979,5.57163278568,3,3666.66666667,0.0110820585008
3091.20616517,0.189198538783,0.0,0.0,1.71519709076,13,0.00507858587039,7000.0,1596.93085071,0.0163409923545,0.00507858587039,5.55777078967,3,4333.33333333,0.0163409923545
2054.80466766,0.149189171953,0.0,0.0,1.71361268663,14,0.00361668641145,5000.0,340.775490697,0.0167657415778,0.00361668641145,5.54897200695,3,2333.33333333,0.0167657415778
2054.80466766,0.300919317471,0.0,0.0,1.70173912346,15,0.00323930035364,5000.0,223.000346388,0.0165948186313,0.00323930035364,5.48347554499,3,2333.33333333,0.0165948186313
1632.99316186,0.12913727012,0.0,1000.0,1.69501198353,16,0.00258364932911,5000.0,850.574233709,0.0151477076695,0.00258364932911,5.44671123567,3,3000.0,0.0151477076695
1247.21912892,-0.0340291237545,0.0,1000.0,1.73753214457,17,0.000657390529517,4000.0,413.125166586,0.0138906306468,0.000657390529517,5.68330053782,3,2666.66666667,0.0138906306468
816.496580928,-0.248835017893,0.0,2000.0,1.70390164656,18,-0.0208494830745,4000.0,926.045946125,0.0180983552066,-0.0208494830745,5.49534651849,3,3000.0,0.0180983552066
942.809041582,-0.115807930392,0.0,2000.0,1.72708629185,19,0.00978406782735,4000.0,274.103890611,0.0114105228296,0.00978406782735,5.62424260963,3,2666.66666667,0.0114105228296
2943.92028878,0.194761423615,0.0,3000.0,1.71532653382,20,0.000265279081182,10000.0,1444.53117522,0.0175984923786,0.000265279081182,5.5584902511,3,7000.0,0.0175984923786
816.496580928,-1.22075932963,0.0,2000.0,1.7107121964,21,-0.0276549360504,4000.0,342.100050848,0.012827752177,-0.0276549360504,5.53290058665,3,3000.0,0.012827752177
3091.20616517,0.206159433416,0.0,0.0,1.68021342439,22,-0.00932232390264,7000.0,631.362102882,0.0270520110582,-0.00932232390264,5.36670123386,3,4333.33333333,0.0270520110582
2494.43825785,0.186194389151,0.0,1000.0,1.71102508256,23,-0.0104304290131,7000.0,540.540747212,0.0188374226879,-0.0104304290131,5.5346320255,3,3666.66666667,0.0188374226879
942.809041582,0.0814882073452,0.0,6000.0,1.71420239412,24,0.0102428438153,8000.0,634.483014875,0.0158251244013,0.0102428438153,5.55224524233,3,6666.66666667,0.0158251244013
3091.20616517,0.0131944088945,0.0,4000.0,1.67550269827,25,0.0101598034058,11000.0,511.151789046,0.025916366563,0.0101598034058,5.34147962686,3,6666.66666667,0.025916366563
942.809041582,-0.60290487513,0.0,3000.0,1.71494001859,26,-0.0165372836993,5000.0,461.384079587,0.0175172024277,-0.0165372836993,5.5563422251,3,3666.66666667,0.0175172024277
1414.21356237,0.293663121251,0.0,3000.0,1.72038986732,27,0.00841541758878,6000.0,508.740883245,0.0139131061304,0.00841541758878,5.58670611388,3,4000.0,0.0139131061304
471.404520791,-0.443891599092,0.0,2000.0,1.7116826439,28,0.00467917112495,3000.0,104.881092967,0.0143169262663,0.00467917112495,5.53827258237,3,2333.33333333,0.0143169262663
