LossAfter,Perplexity,NumTrajs,AverageReturn,StdReturn,MeanKL,dLoss,Iteration,ExplainedVariance,MinReturn,LossBefore,MeanKLBefore,AverageDiscountedReturn,Entropy,MaxReturn
-0.0156226192119,4.68016852946,3,1.33333333333,1.88561808316,0.0127031780709,0.0,0,2.56450081171e-08,0.0,-0.0156226192119,0.0127031780709,0.783639590948,1.54333411985,4.0
0.00996770273846,4.7458477123,3,0.0,0.0,0.00976572008186,0.0185342959609,1,0,0.0,0.0285019986993,0.00890833962564,0.0,1.55727006991,0.0
-0.0,4.68774522154,3,0.0,0.0,0.0109233191071,0.0,2,1,0.0,-0.0,0.0109233191071,0.0,1.54495170386,0.0
-0.0,4.75112320898,3,0.0,0.0,0.0102228375832,0.0,3,1,0.0,-0.0,0.0102228375832,0.0,1.55838105514,0.0
-0.00998450912106,4.2596616643,3,5.66666666667,1.6996731712,0.00963186873299,0.0114791109304,4,1.38274877104e-08,4.0,0.00149460180933,0.00884569433632,1.29871493137,1.4491897356,8.0
-0.00353857035302,4.57454286029,3,1.33333333333,1.88561808316,0.00994602863186,0.0069491431087,5,-2.21951744276,0.0,0.00341057275568,0.00961318790178,0.663318087832,1.52050677249,4.0
-0.0108617107438,4.38394808366,3,0.0,0.0,0.00934924713662,0.0124427351256,6,0,0.0,0.00158102438181,0.00838413199746,0.0,1.47794970734,0.0
-0.00911751366029,4.56821017276,3,1.66666666667,2.35702260396,0.0114351342995,0.0,7,1.9668107254e-08,0.0,-0.00911751366029,0.0114351342995,0.844673499412,1.51912148109,5.0
-0.00697881659744,4.49039123111,3,3.66666666667,2.62466929134,0.0141753618228,0.0,8,0.369171522889,0.0,-0.00697881659744,0.0141753618228,1.54712767101,1.50193983184,6.0
-0.00933573775342,4.69049451019,3,0.0,0.0,0.0107371676736,0.0,9,0,0.0,-0.00933573775342,0.0107371676736,0.0,1.54553801617,0.0
-0.00237589002712,4.34295040778,3,5.0,2.16024689947,0.00960395166512,0.00753955836353,10,6.1607468016e-09,3.0,0.00516366833641,0.00853765164636,2.17517894393,1.4685539346,8.0
-0.0244660815981,4.51999807349,3,1.66666666667,2.35702260396,0.0116985195912,0.0,11,-1.77675469249,0.0,-0.0244660815981,0.0116985195912,0.829124383784,1.50851156763,5.0
-0.0162549302267,4.55689238121,3,2.0,2.82842712475,0.0123374002507,0.0,12,0.331589680189,0.0,-0.0162549302267,0.0123374002507,1.02140575604,1.51664089586,6.0
-0.0399251259875,4.53930566201,3,2.0,2.82842712475,0.00943331831809,0.0307572624934,13,0.0198777786479,0.0,-0.00916786349405,0.00736897682262,0.310592575604,1.51277406247,6.0
-0.00223621731804,4.68492082806,3,3.0,2.16024689947,0.00999922939721,0.00486668141077,14,0.168985916226,0.0,0.00263046409273,0.0101322877659,0.863365779031,1.54434901652,5.0
-0.0190753559869,4.59473409518,3,2.66666666667,3.09120616517,0.00983534305134,0.00910537266206,15,-0.10918602681,0.0,-0.00996998332483,0.00877158178753,0.929335820875,1.52491088584,7.0
0.00305359795173,4.49413191412,3,3.0,2.16024689947,0.0135790496253,0.0,16,-0.291815856178,0.0,0.00305359795173,0.0135790496253,1.93643483936,1.50277252672,5.0
-0.0105847311011,4.45476886492,3,4.33333333333,3.29983164554,0.00982050278759,0.0104900200026,17,-0.0164356287036,0.0,-9.47110984672e-05,0.00969085194159,1.30730206048,1.4939751774,8.0
-0.00485416775519,4.63135443262,3,3.0,2.16024689947,0.010930048405,0.0,18,-1.00229054629,0.0,-0.00485416775519,0.010930048405,1.36462799082,1.53284935936,5.0
-0.006996995619,4.5666286255,3,2.0,2.82842712475,0.013206619184,0.0,19,0.136181835786,0.0,-0.006996995619,0.013206619184,0.156462536266,1.51877521395,6.0
0.00519471818905,4.61725092413,3,4.0,5.65685424949,0.0111082266818,0.0,20,0.214572058903,0.0,0.00519471818905,0.0111082266818,1.27774638192,1.52979948992,12.0
-0.00571516366348,4.51696204331,3,3.33333333333,2.86744175568,0.0099102982982,0.0100023292673,21,-6.43399594139,0.0,0.0042871656038,0.00962468398306,1.55068410286,1.50783965356,7.0
-0.0204301612558,4.45434725106,3,2.66666666667,2.05480466766,0.00946754279056,0.0170820809891,22,-0.161315307346,0.0,-0.00334808026664,0.00572626410475,1.07526485249,1.49388052966,5.0
-0.00828257251425,4.44880838138,3,4.33333333333,3.68178700573,0.0124445022526,0.0,23,0.35132862354,0.0,-0.00828257251425,0.0124445022526,1.07906309552,1.49263628085,9.0
0.00156006077534,4.72592584479,3,2.33333333333,2.62466929134,0.0183988652269,0.0,24,-1.44356259477,0.0,0.00156006077534,0.0183988652269,0.527317161512,1.55306348774,6.0
-0.0274597985008,4.70015041544,3,1.66666666667,2.35702260396,0.00982135975653,0.0129160897358,25,0.125638853474,0.0,-0.0145437087651,0.00914030289682,0.529701155264,1.54759451149,5.0
-0.00249496273211,4.47989811781,3,2.33333333333,1.6996731712,0.010554559566,0.0,26,0.383630864158,0.0,-0.00249496273211,0.010554559566,0.820795333431,1.49960030461,4.0
-0.0215444206637,4.54395372026,3,1.66666666667,2.35702260396,0.009505697607,0.0134613223635,27,0.188477514882,0.0,-0.00808309830026,0.00825198024031,0.588313527061,1.51379749657,5.0
-0.0281369457929,4.68393496068,3,0.0,0.0,0.0122088777984,0.0,28,0,0.0,-0.0281369457929,0.0122088777984,0.0,1.54413856022,0.0
0.00860750038607,4.43135904496,3,5.0,0.816496580928,0.00944382266872,0.00543656310576,29,1.05753334978e-08,4.0,0.0140440634918,0.00798180425387,1.61495185108,1.48870631917,6.0
