MinReturn,LossAfter,MaxReturn,ExplainedVariance,Iteration,MeanKL,AverageReturn,dLoss,AverageDiscountedReturn,NumTrajs,Perplexity,MeanKLBefore,StdReturn,Entropy,LossBefore
66.0,-0.00437026413367,1528.0,3.52162743411e-13,0,0.00989260179251,563.333333333,0.0138270815102,51.6418255363,3,3.54772561405,0.00639035766681,682.232283675,1.26630672607,0.00945681737652
115.0,-0.00843431636395,1778.0,0.518379406373,1,0.0061543735568,925.333333333,0.0,88.2377196203,3,3.55077153599,0.0061543735568,679.576502112,1.26716491395,-0.00843431636395
0.0,-0.012238632245,76.0,-284.171124913,2,0.0113362052431,25.3333333333,0.0,0.515293539373,3,4.27443073746,0.0113362052431,35.8267435801,1.45265093269,-0.012238632245
0.0,-0.00776881343903,355.0,0.0612843572626,3,0.00999075837752,182.333333333,0.0124238215832,4.68468508707,3,4.42155782048,0.00848127747727,145.089244567,1.48649208207,0.00465500814421
251.0,0.0105630972364,1211.0,-0.0957567863128,4,0.00766401254684,816.0,0.0,54.1512852036,3,3.8736529279,0.00766401254684,409.939019855,1.35419797086,0.0105630972364
171.0,-0.0296793031756,2050.0,0.400602872168,5,0.00900863753131,1314.33333333,0.0231047393585,115.189339937,3,3.73398526665,0.00588999931517,819.473136974,1.31747609938,-0.00657456381716
0.0,-0.0225936110389,603.0,-3.8360394258,6,0.00980230182309,201.0,0.0188998476935,23.5789293882,3,4.3715560367,0.00671951413454,284.256926037,1.4751190182,-0.00369376334543
149.0,-0.00843559204068,628.0,-0.380362869238,7,0.00887921628096,352.333333333,0.0115251572975,16.5475618691,3,4.12100616216,0.00653502724887,202.129221594,1.41609734766,0.00308956525679
130.0,-0.0233035926871,1070.0,0.0704880039078,8,0.0096314238247,557.333333333,0.0129425226583,29.5477077371,3,4.33099222843,0.0063819560294,388.468216918,1.46579666782,-0.0103610700288
0.0,-0.0226404258844,1892.0,0.424517989192,9,0.00990508743476,947.666666667,0.0164451845087,80.07999667,3,3.74268905041,0.0065400208147,772.409361817,1.31980435051,-0.00619524137569
439.0,-0.0168567655607,3030.0,0.386513168526,10,0.00891905153507,1797.0,0.016007260744,189.484977408,3,3.99070373792,0.00709318219102,1061.45780258,1.38396759077,-0.000849504816719
148.0,-0.0283463019261,1179.0,-0.408694133859,11,0.00896906019211,794.333333333,0.0201707001719,75.6595669384,3,3.52972108837,0.0067367882841,459.776999086,1.26121885603,-0.00817560175422
571.0,-0.0226510901305,2573.0,0.402040620712,12,0.00928334225657,1772.66666667,0.0218461725278,162.829921408,3,3.66855663231,0.00755912193589,865.179107982,1.29979829651,-0.000804917602688
0.0,-0.0123410148244,1130.0,-1.13430083048,13,0.0124476035972,397.333333333,0.0,27.195278655,3,4.08490877537,0.0124476035972,518.691516114,1.40729939645,-0.0123410148244
0.0,-0.0361302748569,1646.0,0.244532524549,14,0.00981084330037,771.0,0.0107181927138,87.4424438787,3,4.34602694422,0.00760518076616,675.988658682,1.46926208159,-0.025412082143
