AverageReturn,LossAfter,ExplainedVariance,NumTrajs,MaxReturn,MeanKLBefore,AverageDiscountedReturn,StdReturn,Perplexity,MeanKL,dLoss,LossBefore,Entropy,Iteration,MinReturn
4.0,-0.00320396840957,1.27972858976e-08,3,9.0,0.0147539975027,1.58945915281,3.74165738677,4.38777580248,0.0147539975027,0.0,-0.00320396840957,1.47882244778,0,0.0
4.33333333333,-0.00473315761765,-0.00431855864705,3,9.0,0.0223978793893,1.9694724761,3.68178700573,4.36106017015,0.0223978793893,0.0,-0.00473315761765,1.4727151861,1,0.0
8.0,0.00632698820378,0.39884184052,3,9.0,0.0189168708402,2.62102579521,0.816496580928,4.2593957009,0.0189168708402,0.0,0.00632698820378,1.44912729597,2,7.0
7.66666666667,0.0113955776718,0.467236051299,3,9.0,0.0128722709037,3.60763304846,1.24721912892,4.24649637773,0.0128722709037,0.0,0.0113955776718,1.44609426124,3,6.0
4.0,-0.0123513658651,-0.262586977068,3,7.0,0.0149022895234,1.41108412511,2.94392028878,4.42089837202,0.0149022895234,0.0,-0.0123513658651,1.48634292702,4,0.0
7.0,-0.00704287868778,0.234595946464,3,8.0,0.0238547748973,2.06003600321,0.816496580928,4.39413191577,0.0238547748973,0.0,-0.00704287868778,1.48026999531,5,6.0
5.66666666667,-0.0040077736095,-0.0161047075451,3,9.0,0.020892362798,1.38348749651,4.0276819912,4.43429576264,0.020892362798,0.0,-0.0040077736095,1.48936881232,6,0.0
6.33333333333,-0.000399120002171,0.314179301728,3,8.0,0.0188488315781,2.76471575289,1.6996731712,4.25586679779,0.0188488315781,0.0,-0.000399120002171,1.44829845404,7,4.0
7.33333333333,0.0125941762414,0.265868861696,3,9.0,0.0155734912162,2.33628930087,1.24721912892,4.30477585896,0.0155734912162,0.0,0.0125941762414,1.45972507124,8,6.0
7.33333333333,0.00889891334176,0.404062322633,3,9.0,0.0170766711899,3.1281067338,1.24721912892,4.40687324758,0.0170766711899,0.0,0.00889891334176,1.48316542383,9,6.0
6.0,-0.0123692015384,-0.783495496372,3,8.0,0.0185331480482,1.57611472377,1.63299316186,4.36998410117,0.0185331480482,0.0,-0.0123692015384,1.47475937092,10,4.0
6.66666666667,0.00473726200078,0.445049254294,3,8.0,0.0203789134556,2.74013413986,1.24721912892,4.39613362498,0.0203789134556,0.0,0.00473726200078,1.48072543303,11,5.0
3.33333333333,-0.00924050275398,-0.356199600089,3,10.0,0.0222457067119,0.776997283029,4.71404520791,4.29580408359,0.0222457067119,0.0,-0.00924050275398,1.45763875179,12,0.0
5.66666666667,-0.00476974864694,0.471318676993,3,10.0,0.0153461697667,2.94009221489,4.18993502999,4.37684126341,0.0153461697667,0.0,-0.00476974864694,1.47632729148,13,0.0
6.66666666667,0.00454581215902,0.215826602578,3,9.0,0.019871493362,2.06325784215,2.62466929134,4.28436334012,0.019871493362,0.0,0.00454581215902,1.45497196228,14,3.0
8.33333333333,0.0103012955046,0.637951908766,3,9.0,0.0183332734051,3.98138929896,0.471404520791,4.37209234325,0.0183332734051,0.0,0.0103012955046,1.4752416916,15,8.0
7.66666666667,0.0118465207109,0.101321893587,3,9.0,0.0156968516484,3.39081102616,1.24721912892,4.32994869632,0.0156968516484,0.0,0.0118465207109,1.46555569352,16,6.0
7.33333333333,0.00646094085847,0.469585025163,3,9.0,0.0164498519663,3.58203020735,1.6996731712,4.3223688795,0.0164498519663,0.0,0.00646094085847,1.4638036037,17,5.0
6.66666666667,-0.00771604734784,0.516310985542,3,7.0,0.0207574091025,3.68570189201,0.471404520791,4.41993883638,0.0207574091025,0.0,-0.00771604734784,1.48612585807,18,6.0
6.33333333333,-0.0104174582305,0.0646878105383,3,7.0,0.0186508511347,2.45777063742,0.942809041582,4.37176771398,0.0186508511347,0.0,-0.0104174582305,1.47516743852,19,5.0
5.66666666667,-0.00724841351189,0.190919994661,3,9.0,0.027703641917,2.4064263105,4.0276819912,4.30027726628,0.027703641917,0.0,-0.00724841351189,1.45867950115,20,0.0
5.33333333333,5.19260616436e-05,0.334593297084,3,8.0,0.0163271338604,2.06632552444,3.77123616633,4.21164573716,0.0163271338604,0.0,5.19260616436e-05,1.43785348275,21,0.0
6.33333333333,0.0156739184492,0.315195390282,3,7.0,0.0153353663822,2.21736279228,0.942809041582,4.31887492953,0.0153353663822,0.0,0.0156739184492,1.46299493536,22,5.0
8.33333333333,-0.000394491661042,0.608507174157,3,10.0,0.0121542370921,4.08727478942,1.24721912892,4.23060726692,0.0121542370921,0.0,-0.000394491661042,1.44234554467,23,7.0
7.66666666667,-0.00639278751135,0.380531308275,3,8.0,0.0206889500141,3.26345836505,0.471404520791,4.35195696353,0.0206889500141,0.0,-0.00639278751135,1.47062562061,24,7.0
4.33333333333,-0.00238046480714,-0.137462414652,3,7.0,0.020544795521,1.42440570409,3.09120616517,4.40617415774,0.020544795521,0.0,-0.00238046480714,1.483006775,25,0.0
8.33333333333,0.000188162817266,0.1011171784,3,9.0,0.0209457481717,2.80643364351,0.471404520791,4.33085420944,0.0209457481717,0.0,0.000188162817266,1.46576479956,26,8.0
4.0,0.00431586861259,0.0349506760326,3,8.0,0.019777347561,2.69529972117,3.26598632371,4.45795833517,0.019777347561,0.0,0.00431586861259,1.49469088884,27,0.0
1.66666666667,-0.0209873760751,-0.051915077084,3,5.0,0.016498396335,0.515326266817,2.35702260396,4.44822850205,0.016498396335,0.0,-0.0209873760751,1.49250592749,28,0.0
