NumTrajs,dLoss,MaxReturn,MinReturn,Perplexity,MeanKL,Iteration,LossBefore,AverageReturn,MeanKLBefore,LossAfter,ExplainedVariance,StdReturn,AverageDiscountedReturn,Entropy
3,0.0264033808093,6000.0,0.0,5.3241556097,0.00580434782649,0,-1.77968750847e-15,4000.0,-5.54596288414e-18,-0.0264033808093,5.44009282066e-15,2828.42712475,914.070526087,1.67225412807
3,0.0313629825272,10000.0,5000.0,5.3390702784,0.0085723601247,1,-7.81782046507e-17,6666.66666667,4.06063780348e-18,-0.0313629825272,0.322593671349,2357.02260396,1657.33426206,1.67505153265
3,0.0293650422604,8000.0,4000.0,5.48997874619,0.00894292856433,2,5.31357365515e-16,5666.66666667,5.52873865774e-18,-0.0293650422604,0.328490605621,1699.6731712,2414.46960677,1.70292438415
3,0.0281326073613,6000.0,4000.0,5.40030602357,0.0071474148676,3,1.76271034806e-16,4666.66666667,-2.97255773975e-18,-0.0281326073613,0.314378227023,942.809041582,1753.94502519,1.686455623
3,0.0340305381158,8000.0,4000.0,5.37077230499,0.00662166921236,4,-1.03875964543e-16,5333.33333333,-2.75982323163e-18,-0.0340305381158,0.133244651342,1885.61808316,2163.32381108,1.68097171661
3,0.0222886969604,6000.0,4000.0,5.39782020716,0.00831316375355,5,4.38003221655e-16,5333.33333333,-2.76926116174e-18,-0.0222886969604,0.341085888854,942.809041582,3138.9579815,1.68599520673
3,0.0218862332163,7000.0,4000.0,5.30041134298,0.00740517293023,6,-3.17338747872e-17,5333.33333333,-8.62690680003e-18,-0.0218862332163,0.679229051505,1247.21912892,3477.04074079,1.66778442943
3,0.0356972797448,7000.0,5000.0,5.17721419333,0.00783570618223,7,6.90651239902e-17,6000.0,3.69065576115e-19,-0.0356972797448,0.741350281287,816.496580928,3890.50200848,1.64426711109
3,0.015670728686,8000.0,4000.0,5.18934066514,0.00694863135793,8,5.03301104497e-17,6333.33333333,-2.07666494436e-17,-0.015670728686,0.707305547513,1699.6731712,4310.35831315,1.64660664964
3,0.0162359692217,5000.0,5000.0,5.13902385245,0.00849849696605,9,-7.45699798207e-17,5000.0,7.13898652266e-18,-0.0162359692217,0.58325788233,0.0,3499.64473585,1.63686314946
3,0.0280986182172,5000.0,4000.0,5.07061483397,0.00773432995981,10,-1.04314705022e-16,4666.66666667,-2.66354810053e-19,-0.0280986182172,0.551327121742,471.404520791,2517.54916119,1.62346207928
3,0.0360003753142,9000.0,5000.0,5.11244958795,0.00989263138131,11,-1.2781442571e-16,7000.0,6.09242108822e-18,-0.0360003753142,0.493416679566,1632.99316186,3058.37294788,1.63167866077
3,0.0281074994865,6000.0,4000.0,5.22377403019,0.00717742520382,12,-6.40691203794e-17,4666.66666667,4.15755299329e-18,-0.0281074994865,0.216345425467,942.809041582,2588.83323711,1.65322013495
3,0.0196789941859,6000.0,4000.0,5.2590002004,0.00770804976389,13,-6.8047419551e-17,4666.66666667,8.92356398845e-18,-0.0196789941859,0.511232482531,942.809041582,2705.26698001,1.65994093271
3,0.0192536162006,5000.0,4000.0,5.27343605268,0.00756573141577,14,-1.75507756476e-16,4333.33333333,2.57544171847e-18,-0.0192536162006,0.492459247211,471.404520791,2880.10455292,1.6626821525
3,0.0173460809066,5000.0,5000.0,5.35337056459,0.00719575570826,15,1.32821994144e-16,5000.0,2.2068803949e-19,-0.0173460809066,0.585122979188,0.0,2438.73319338,1.67772637461
3,0.0300716779259,8000.0,6000.0,5.23773298819,0.00754818345541,16,5.89805981832e-17,7000.0,2.40455662693e-19,-0.0300716779259,0.646951801888,816.496580928,3529.31029677,1.65588876888
3,0.0265672633182,6000.0,4000.0,5.29380536646,0.00922356918796,17,-1.19811568074e-16,5000.0,-4.78701557648e-18,-0.0265672633182,0.529777321909,816.496580928,3019.55555545,1.6665373382
3,0.0276833307681,10000.0,4000.0,5.30320322946,0.00895757831323,18,-3.45094323488e-17,6666.66666667,-1.13826008634e-18,-0.0276833307681,0.757718291903,2494.43825785,3776.38796901,1.66831102091
3,0.0268520859234,9000.0,7000.0,5.32652746375,0.00739005823658,19,1.31376391247e-17,7666.66666667,3.56001363488e-18,-0.0268520859234,0.857216861613,942.809041582,4127.93700001,1.67269951812
3,0.023616190315,8000.0,4000.0,5.3067802222,0.0083661820551,20,1.66348416523e-16,6333.33333333,8.70322495285e-18,-0.023616190315,0.746336724782,1699.6731712,3611.70695016,1.66898529017
3,0.0234930914024,13000.0,6000.0,5.43604960011,0.00620395853245,21,2.4312727757e-16,8333.33333333,2.91752091402e-19,-0.0234930914024,-0.142886035126,3299.83164554,2992.48165314,1.69305262062
3,0.0280340936672,11000.0,8000.0,5.42823658105,0.00871560111524,22,-1.46410661372e-17,9333.33333333,3.84201231591e-18,-0.0280340936672,-0.270177211416,1247.21912892,1840.88089645,1.69161432633
3,0.0282001992697,9000.0,6000.0,5.27327933693,0.00898048150669,23,7.97510206022e-17,7333.33333333,1.37647579789e-18,-0.0282001992697,-0.123857918908,1247.21912892,3883.185124,1.6626524341
3,0.0206966418972,6000.0,5000.0,5.3041319957,0.00943390802573,24,-1.4395891886e-16,5666.66666667,-3.89365144609e-18,-0.0206966418972,0.730390087713,471.404520791,3528.27865675,1.66848613864
3,0.023191696211,7000.0,6000.0,5.2595623539,0.00683924475181,25,1.83695651283e-16,6333.33333333,8.91003682582e-18,-0.023191696211,0.487696885976,471.404520791,2894.77550494,1.66004782061
