Entropy,AverageDiscountedReturn,MeanKLBefore,NumTrajs,MinReturn,Iteration,LossBefore,LossAfter,MeanKL,MaxReturn,ExplainedVariance,dLoss,AverageReturn,Perplexity,StdReturn
1.63954136156,6343.53604564,-1.33520010112e-18,3,0.0,0,-9.86248120209e-17,-0.0303361013222,0.00627842138838,35000.0,5.55111512313e-16,0.0303361013222,19666.6666667,5.15280569543,14613.5401445
1.62350522511,2808.46778934,3.43274657843e-18,3,12000.0,1,-4.26973271554e-17,-0.0360258092004,0.00648401382054,17000.0,-0.0372054451464,0.0360258092004,14666.6666667,5.07083361457,2054.80466766
1.64245916629,1900.62617579,-1.88606642853e-19,3,13000.0,2,-2.06779038336e-17,-0.0338807483512,0.00791993987962,24000.0,-1.30648670264,0.0338807483512,19666.6666667,5.16786253202,4784.2333648
1.65956538016,4791.81418738,5.77049870868e-19,3,7000.0,3,1.95306733749e-16,-0.0353692629669,0.00981101741065,26000.0,-0.0891273323823,0.0353692629669,16333.3333333,5.25702554027,7760.29781788
1.67168596213,651.288297971,4.31854114638e-18,3,4000.0,4,1.34244467394e-16,-0.037361311032,0.00963085015101,22000.0,-0.0557210315904,0.037361311032,13000.0,5.321131465,7348.46922835
1.65205187838,1559.94475238,-1.01942186757e-19,3,4000.0,5,1.45254179055e-16,-0.0348851538249,0.00863418427071,12000.0,-0.813399664307,0.0348851538249,7666.66666667,5.21767488523,3299.83164554
1.64901110691,10098.8428716,5.01118142194e-18,3,16000.0,6,6.84637531852e-17,-0.0522665000256,0.00909920127293,23000.0,0.172538562697,0.0522665000256,18666.6666667,5.20183322594,3091.20616517
1.65376216532,5249.54942749,4.15625289138e-18,3,0.0,7,-4.28777383969e-16,-0.0333036785294,0.00951184109252,27000.0,-0.38837022983,0.0333036785294,15000.0,5.22660624186,11224.9721603
1.64930389806,7563.84750668,4.09915968907e-18,3,14000.0,8,6.81861974291e-17,-0.0208364574642,0.00806994149772,32000.0,0.287940808681,0.0208364574642,23000.0,5.20335649968,7348.46922835
1.64909976568,6720.65121493,6.98180987373e-18,3,4000.0,9,-9.18709552877e-17,-0.0329226216367,0.00934547002534,31000.0,-0.0301659772141,0.0329226216367,22000.0,5.20229443451,12727.9220614
1.63791594579,10095.6787984,4.84071308946e-18,3,28000.0,10,-6.16173778667e-17,-0.029229824875,0.00971703819406,33000.0,0.325629972861,0.029229824875,31000.0,5.14443704691,2160.24689947
1.62717273541,6812.1561849,1.29234954293e-18,3,0.0,11,6.52256026967e-17,-0.0409437744971,0.00703603911831,28000.0,0.407188349307,0.0409437744971,16666.6666667,5.08946509377,12036.9800568
1.62566090547,9549.89698606,3.60028607837e-18,3,21000.0,12,-9.06682136777e-17,-0.0192987203842,0.0068260575131,29000.0,0.575461158509,0.0192987203842,25666.6666667,5.08177650147,3399.3463424
1.64398269791,11042.0795933,1.35705362924e-18,3,26000.0,13,-2.5081788498e-16,-0.0265474468035,0.00945059358079,40000.0,0.365729211658,0.0265474468035,31666.6666667,5.17574193474,6018.49002842
1.64269482084,8468.22973813,2.98761790323e-18,3,35000.0,14,-2.12792746386e-16,-0.0322545806225,0.00872962533798,38000.0,0.310697581821,0.0322545806225,36000.0,5.16908050589,1414.21356237
1.65497546405,11085.3786195,-1.06556317245e-18,3,33000.0,15,-6.11547849398e-17,-0.029770454794,0.00989477243253,38000.0,0.0129853507103,0.029770454794,35333.3333333,5.23295152519,2054.80466766
1.61011380616,11688.6372952,4.50525270952e-18,3,31000.0,16,-5.65288556705e-17,-0.0279673020546,0.00613470797529,41000.0,0.374347983075,0.0279673020546,36666.6666667,5.00338061095,4189.93502999
1.60432454461,12876.1615204,2.32762028082e-18,3,31000.0,17,1.20065994184e-16,-0.0293434932708,0.00865599611616,37000.0,0.635888310662,0.0293434932708,34000.0,4.97449841593,2449.48974278
1.57376587221,9053.16270455,-4.08821397404e-18,3,18000.0,18,5.6158781329e-17,-0.0381729873295,0.0096286475577,40000.0,0.0818050456057,0.0381729873295,31333.3333333,4.82478354292,9568.4667296
1.60602455557,11881.8949305,1.1400547224e-18,3,29000.0,19,7.41767758328e-17,-0.0320088582765,0.00929673254817,37000.0,0.514547298976,0.0320088582765,33000.0,4.98296231006,3265.98632371
1.5881781048,11938.6690388,1.41188935478e-18,3,31000.0,20,5.64664056254e-16,-0.0315003343463,0.00913706113353,38000.0,0.524419583688,0.0315003343463,35000.0,4.89482294526,2943.92028878
1.64083375552,13549.9318298,-2.30926791152e-19,3,25000.0,21,1.02418074022e-16,-0.0346904715036,0.00892984227926,39000.0,0.435895332852,0.0346904715036,33000.0,5.15946945556,5887.84057755
1.62421628529,14805.016524,-1.09879396311e-18,3,31000.0,22,-1.16249602537e-16,-0.0267229555223,0.00931572846535,35000.0,0.711310326826,0.0267229555223,33333.3333333,5.07444056466,1699.6731712
1.60004490553,15462.8473056,1.4560994941e-18,3,36000.0,23,-1.67954985747e-16,-0.0271708359213,0.00777570080003,39000.0,0.680632239781,0.0271708359213,38000.0,4.95325484796,1414.21356237
1.62414965712,10789.2088722,-1.16644800979e-18,3,28000.0,24,-6.38493887391e-17,-0.0398819957697,0.006568217603,37000.0,-0.504833943795,0.0398819957697,33000.0,5.07410247524,3741.65738677
1.57007493286,10803.8374744,-1.66341648165e-18,3,18000.0,25,-2.94486657282e-16,-0.0367162065772,0.00923565195584,38000.0,0.469321507779,0.0367162065772,30666.6666667,4.80700838315,8993.82504215
