AverageDiscountedReturn,ExplainedVariance,Iteration,NumTrajs,Entropy,MinReturn,MaxReturn,Perplexity,MeanKLBefore,LossBefore,StdReturn,dLoss,AverageReturn,MeanKL,LossAfter
1.57909435797,6.80747602733e-09,0,3,1.63360809692,0.0,6.0,5.12232325522,0.0166584712476,0.0348230284869,2.62466929134,0.0,3.66666666667,0.0166584712476,0.0348230284869
2.17121786811,0.427214767212,1,3,1.71311177562,5.0,7.0,5.54619316179,0.0138626125481,0.0129296914593,0.942809041582,0.0,5.66666666667,0.0138626125481,0.0129296914593
1.28970122447,0.0542068510907,2,3,1.6151507713,0.0,9.0,5.02864604182,0.017481848623,-0.0145224506584,3.68178700573,0.0,4.33333333333,0.017481848623,-0.0145224506584
1.29670231508,0.119237272851,3,3,1.6022264047,0.0,7.0,4.96407216399,0.0198177624672,-0.00354512064488,3.29983164554,0.0,4.66666666667,0.0198177624672,-0.00354512064488
1.66111183089,-0.111627881727,4,3,1.63921897909,0.0,6.0,5.15114478893,0.0145796988638,0.0320789982882,2.49443825785,0.0,3.33333333333,0.0145796988638,0.0320789982882
0.253582184635,-0.0798776957213,5,3,1.56936687202,0.0,7.0,4.80360593347,0.0193930534729,-0.0115869115901,3.29983164554,0.0,2.33333333333,0.0193930534729,-0.0115869115901
2.13763659531,-0.127158849475,6,3,1.69460664646,5.0,6.0,5.44450392904,0.0187325822374,0.0337057262055,0.471404520791,0.0,5.66666666667,0.0187325822374,0.0337057262055
0.69593802125,-0.451960737851,7,3,1.61870317972,0.0,7.0,5.04654161372,0.021168968825,0.00665678282999,2.86744175568,0.0,3.66666666667,0.021168968825,0.00665678282999
3.18896335658,-0.323419670655,8,3,1.69695095989,5.0,9.0,5.45728252539,0.0161699008859,0.0219809130752,1.6996731712,0.0,6.66666666667,0.0161699008859,0.0219809130752
1.63055771028,0.0473859671301,9,3,1.6568477788,0.0,7.0,5.24275843542,0.0142858786679,-0.000479455009603,3.29983164554,0.0,4.66666666667,0.0142858786679,-0.000479455009603
1.36236145612,-0.043614925929,10,3,1.62064185966,0.0,9.0,5.05633473254,0.0231622663544,0.0116105478304,3.85861230093,0.0,5.33333333333,0.0231622663544,0.0116105478304
3.76280338817,0.29940884416,11,3,1.71674965946,5.0,11.0,5.56640631252,0.011277261627,0.0128984814469,2.49443825785,0.0,7.66666666667,0.011277261627,0.0128984814469
0.0931224963474,-3.54502836943,12,3,1.55093558249,0.0,6.0,4.71588021427,0.0167664219598,-0.0367623888521,2.82842712475,0.0,2.0,0.0167664219598,-0.0367623888521
1.39638322233,-0.369352010735,13,3,1.61729560309,0.0,7.0,5.03944321661,0.0148581054718,0.0116817275904,3.09120616517,0.0,4.33333333333,0.0148581054718,0.0116817275904
3.50418214017,0.396486053901,14,3,1.71587967716,6.0,10.0,5.56156574352,0.0139170356057,0.0162867613127,1.6996731712,0.0,7.66666666667,0.0139170356057,0.0162867613127
1.76849742983,0.153998392945,15,3,1.68630668349,4.0,7.0,5.39950176453,0.0232856050394,-0.00158921316924,1.24721912892,0.0,5.66666666667,0.0232856050394,-0.00158921316924
3.25471079817,0.435537318411,16,3,1.64658194615,0.0,12.0,5.18921247194,0.0101074882452,0.00716629585256,4.92160768674,0.0,5.66666666667,0.0101074882452,0.00716629585256
2.67695541669,0.390513691517,17,3,1.63857948335,0.0,9.0,5.14785170686,0.0207857704392,0.00117475218906,4.0276819912,0.0,5.66666666667,0.0207857704392,0.00117475218906
1.25841039249,-0.577466541156,18,3,1.59564768611,0.0,7.0,4.93152211634,0.0161883772028,-0.0220491916421,3.29983164554,0.0,2.33333333333,0.0161883772028,-0.0220491916421
2.52347777834,0.505396551482,19,3,1.71153696179,4.0,6.0,5.53746581389,0.0151535847075,0.0176256783655,0.816496580928,0.0,5.0,0.0151535847075,0.0176256783655
2.06740870037,0.108300516182,20,3,1.71025250512,7.0,9.0,5.53035774499,0.015941780569,0.00151277676907,0.942809041582,0.0,7.66666666667,0.015941780569,0.00151277676907
1.06005920444,-0.146862994091,21,3,1.5925074383,0.0,8.0,4.91606020465,0.016660213207,-0.0178823771571,3.77123616633,0.0,2.66666666667,0.016660213207,-0.0178823771571
0.392569683778,-0.0721029536173,22,3,1.60315722285,0.0,6.0,4.96869496357,0.0213064519263,-0.00463472451538,2.49443825785,0.0,3.33333333333,0.0213064519263,-0.00463472451538
2.44950461702,-0.317378486044,23,3,1.70567490517,4.0,6.0,5.50509983408,0.0145314629136,0.0196214875805,0.942809041582,0.0,5.33333333333,0.0145314629136,0.0196214875805
3.15128631317,0.499141599519,24,3,1.71354071564,7.0,7.0,5.54857265633,0.0102233391533,0.00627568087323,0.0,0.0,7.0,0.0102233391533,0.00627568087323
0.955459337751,-3.19803418988,25,3,1.6015929006,0.0,9.0,4.9609283998,0.0146283359171,-0.0477663158885,4.24264068712,0.0,3.0,0.0146283359171,-0.0477663158885
1.73860105013,0.150548486723,26,3,1.64642940117,0.0,8.0,5.18842094399,0.0128724656291,0.0245170353208,3.3993463424,0.0,3.33333333333,0.0128724656291,0.0245170353208
1.23869419353,-0.14885737455,27,3,1.59170763046,0.0,11.0,4.91212987309,0.0228393624496,0.0130743960009,5.1854497287,0.0,3.66666666667,0.0228393624496,0.0130743960009
2.48055532484,0.00309238206901,28,3,1.67946527399,0.0,7.0,5.36268763572,0.0222092940684,0.0195096789529,3.09120616517,0.0,4.33333333333,0.0222092940684,0.0195096789529
