AverageReturn,LossAfter,ExplainedVariance,AverageDiscountedReturn,MeanKL,NumTrajs,MeanKLBefore,Entropy,LossBefore,Iteration,MaxReturn,StdReturn,MinReturn,Perplexity,dLoss
0.0,-0.0,1,0.0,0.0337679191205,3,0.0337679191205,1.64926053895,-0.0,0,0.0,0.0,0.0,5.20313089166,0.0
0.0,-0.0,1,0.0,0.0246468647192,3,0.0246468647192,1.61342536686,-0.0,1,0.0,0.0,0.0,5.01997707448,0.0
3.0,0.00246814937551,1.00594206298e-08,0.315466389935,0.0192747994603,3,0.0192747994603,1.6320508376,0.00246814937551,2,6.0,2.44948974278,0.0,5.11435267732,0.0
0.0,0.0038434605883,0,0.0,0.0288471655011,3,0.0288471655011,1.63607797631,0.0038434605883,3,0.0,0.0,0.0,5.13499041259,0.0
3.0,0.00216875968939,1.66184193073e-08,0.832036478559,0.0234543755446,3,0.0234543755446,1.55088950813,0.00216875968939,4,4.0,0.816496580928,2.0,4.71566293808,0.0
2.0,-0.00199046918479,0.142112876841,0.748919784823,0.0249811270275,3,0.0249811270275,1.60533621528,-0.00199046918479,5,5.0,2.16024689947,0.0,4.97953351656,0.0
1.66666666667,-0.0180570524619,-0.251809520217,0.0992730851491,0.0331699318108,3,0.0331699318108,1.62551770755,-0.0180570524619,6,5.0,2.35702260396,0.0,5.08104885374,0.0
3.33333333333,-0.00690620550874,-0.28266650638,0.640978086304,0.0139021566232,3,0.0139021566232,1.66448499282,-0.00690620550874,7,6.0,2.05480466766,1.0,5.28295179091,0.0
1.0,-0.0123126728007,-2.47026100601,0.0711375524203,0.0223383780971,3,0.0223383780971,1.66321773174,-0.0123126728007,8,3.0,1.41421356237,0.0,5.27626115203,0.0
1.33333333333,-0.00479171769016,-0.753463685586,0.639823515159,0.0246700759092,3,0.0246700759092,1.63488812763,-0.00479171769016,9,4.0,1.88561808316,0.0,5.12888418448,0.0
1.33333333333,-0.00796716626802,0.0138584105819,0.170343612326,0.0198055379812,3,0.0198055379812,1.64038717285,-0.00796716626802,10,2.0,0.942809041582,0.0,5.15716584037,0.0
2.0,0.00573308459765,-0.791494791619,0.498432033089,0.0197855396222,3,0.0197855396222,1.62864262023,0.00573308459765,11,2.0,0.0,2.0,5.096951522,0.0
4.0,-0.0107402438324,-0.0102304219259,0.410176540835,0.0338847437527,3,0.0338847437527,1.68364613462,-0.0107402438324,12,7.0,2.94392028878,0.0,5.38515521957,0.0
5.33333333333,-0.0154393210468,-0.0643913950106,2.04396251397,0.00997189986674,3,0.00889307825436,1.6094616814,0.0055833747979,13,8.0,2.05480466766,3.0,5.00011884625,0.0210226958447
1.33333333333,-0.00796350403634,-0.238121683103,0.278552832004,0.0280269402168,3,0.0280269402168,1.66370336549,-0.00796350403634,14,4.0,1.88561808316,0.0,5.27882410477,0.0
2.33333333333,-0.00113589662183,-0.418823426123,0.102605833029,0.022980233187,3,0.022980233187,1.63873433446,-0.00113589662183,15,3.0,0.942809041582,1.0,5.14864891916,0.0
5.0,0.00015225852269,-0.157770421485,1.6527870298,0.0131047694949,3,0.0131047694949,1.55566312365,0.00015225852269,16,7.0,1.41421356237,4.0,4.73822751434,0.0
4.33333333333,0.0112511957482,-1.20559201711,0.994687748031,0.0183292173438,3,0.0183292173438,1.64096320517,0.0112511957482,17,6.0,1.24721912892,3.0,5.16013739029,0.0
2.0,-0.00617244689977,-0.309410191086,0.157301676393,0.0245190899946,3,0.0245190899946,1.57871178344,-0.00617244689977,18,5.0,2.16024689947,0.0,4.84870560343,0.0
0.0,0.00659563981189,0,0.0,0.0305623554454,3,0.0305623554454,1.66444910488,0.00659563981189,19,0.0,0.0,0.0,5.28276220009,0.0
4.66666666667,0.00579291907841,1.50661159104e-08,0.656332285808,0.0164719974878,3,0.0164719974878,1.55469882707,0.00579291907841,20,6.0,1.24721912892,3.0,4.73366066001,0.0
0.333333333333,-0.00364192012106,-18.4163667321,0.00661613926646,0.0227616167335,3,0.0227616167335,1.68121059095,-0.00364192012106,21,1.0,0.471404520791,0.0,5.37205539789,0.0
6.66666666667,-0.0103776903723,-0.0290854802903,2.12090637684,0.00936684710978,3,0.00815566509338,1.66234113082,0.00542639551039,22,8.0,1.88561808316,4.0,5.27163800329,0.0158040858827
2.66666666667,-0.0240655191689,-1.12187087601,0.344374554405,0.0176128687108,3,0.0176128687108,1.57042601485,-0.0240655191689,23,5.0,2.05480466766,0.0,4.80869633354,0.0
2.0,0.000225158950174,-0.0198096346014,0.20155848364,0.0192345676809,3,0.0192345676809,1.64750024239,0.000225158950174,24,6.0,2.82842712475,0.0,5.19397989484,0.0
3.33333333333,-0.0326682874118,-0.0477829891891,0.501531606198,0.0145614389774,3,0.0145614389774,1.57837847636,-0.0326682874118,25,7.0,2.86744175568,0.0,4.84708976483,0.0
3.0,0.00946096513802,0.177584906153,0.495326674908,0.0107361134368,3,0.0107361134368,1.60652710487,0.00946096513802,26,5.0,2.16024689947,0.0,4.98546712365,0.0
1.66666666667,-0.00377200452842,-0.305772441967,0.20703494216,0.0176229700537,3,0.0176229700537,1.59999586206,-0.00377200452842,27,4.0,1.6996731712,0.0,4.9530119291,0.0
0.666666666667,0.0169741368204,-0.174101850046,0.138313969314,0.0170954821949,3,0.0170954821949,1.65618862571,0.0169741368204,28,2.0,0.942809041582,0.0,5.2393037937,0.0
0.333333333333,-0.0137627506645,-0.982268052894,0.00792813680503,0.0189219844746,3,0.0189219844746,1.62332706174,-0.0137627506645,29,1.0,0.471404520791,0.0,5.06993025823,0.0
