ExplainedVariance,AverageDiscountedReturn,LossBefore,AverageReturn,LossAfter,Iteration,Perplexity,StdReturn,NumTrajs,MeanKLBefore,MeanKL,MaxReturn,Entropy,dLoss,MinReturn
1.75193193286e-13,170.422544345,0.0259724436552,1295.66666667,0.0259724436552,0,5.52508105042,929.836664271,3,0.012730272472,0.012730272472,2138.0,1.70929791705,0.0,0.0
0.624839928128,109.753156812,0.0054805886871,685.333333333,0.0054805886871,1,5.42314343893,969.207694746,3,0.0108781224572,0.0108781224572,2056.0,1.69067561762,0.0,0.0
-0.944485507891,8.90994423253,-0.0163539065026,228.666666667,-0.0163539065026,2,5.45377087852,323.383501263,3,0.00993213509262,0.00993213509262,686.0,1.69630727374,0.0,0.0
0.296260939317,153.21154982,-0.00321203633321,1205.66666667,-0.0142325716408,3,5.3828868346,1175.10689821,3,0.00898353745779,0.0095238862995,2799.0,1.68322481662,0.0110205353076,0.0
-2.60324475192,33.7488162214,0.00337105254389,543.666666667,-0.00959003398319,4,5.27367904361,392.258701483,3,0.00853390433378,0.00990349727846,911.0,1.66272822973,0.0129610865271,0.0
0.0460309152921,196.617721704,-0.00277952608914,1659.66666667,-0.0218825720721,5,5.36424903415,28.8251433455,3,0.00759347719055,0.00999425432896,1692.0,1.67975639129,0.019103045983,1622.0
0.652119304578,144.559266307,-9.44261120214e-05,1683.66666667,-0.00492688218107,6,5.29682514675,300.129231425,3,0.00784074830155,0.00972761614446,1976.0,1.66710761215,0.00483245606905,1271.0
0.161133178785,115.625349765,0.00730720174155,971.0,-0.00513784483973,7,5.36220131783,972.496101106,3,0.00861892153201,0.00983100774824,2300.0,1.6793745844,0.0124450465813,0.0
0.416604552073,57.079035826,0.00945938648784,795.333333333,0.00945938648784,8,5.44261212476,608.005116938,3,0.0140473790246,0.0140473790246,1476.0,1.69425911562,0.0,0.0
0.63999185375,127.342650263,-0.00814177826144,1268.66666667,-0.00814177826144,9,5.30440426184,970.965613306,3,0.0105399189091,0.0105399189091,2358.0,1.66853746827,0.0,0.0
0.194478606301,160.781618074,-0.0120073208304,1270.33333333,-0.0175287714489,10,5.30478069671,1159.77363692,3,0.00861377170916,0.00954703961815,2804.0,1.66860843223,0.00552145061851,0.0
0.708611522701,224.109528558,-0.00740145661831,1491.66666667,-0.00740145661831,11,5.44729569692,1061.07628797,3,0.0127516344298,0.0127516344298,2379.0,1.69511928313,0.0,0.0
-2.7869793336,36.5947668566,0.0010225662383,377.666666667,0.0010225662383,12,5.39099451822,246.848581568,3,0.0102969689081,0.0102969689081,567.0,1.68472987963,0.0,29.0
-1.87863437547,4.67871774392,-0.00391731033147,88.6666666667,-0.00391731033147,13,5.30750445218,88.2131257555,3,0.0101061269169,0.0101061269169,209.0,1.66912175344,0.0,0.0
0.102118796963,217.333014465,0.00639357136685,1595.66666667,0.00639357136685,14,5.46120048256,1172.26968835,3,0.0141906042501,0.0141906042501,2783.0,1.69766863419,0.0,0.0
0.327534070324,189.236703574,0.000941839631311,1298.0,0.000941839631311,15,5.48923207836,930.70725795,3,0.0118889638192,0.0118889638192,2136.0,1.7027883693,0.0,0.0
0.526251941344,187.203479331,0.00555136162234,1170.66666667,0.00555136162234,16,5.37769530607,1487.73683455,3,0.0141011127161,0.0141011127161,3270.0,1.68225990062,0.0,0.0
-4.59368857573,20.3009451898,0.00670486112086,329.0,0.00670486112086,17,5.34193094902,374.5406075,3,0.0108791717203,0.0108791717203,853.0,1.67558718855,0.0,0.0
0.384997682573,55.8287422891,0.0194882904114,573.666666667,0.0194882904114,18,5.42508642888,633.658337662,3,0.0136914933679,0.0136914933679,1458.0,1.69103383089,0.0,6.0
0.420554281477,66.2478893596,-0.0195269020234,625.666666667,-0.0195269020234,19,5.2940024397,634.185216549,3,0.0123977484774,0.0123977484774,1495.0,1.66657456465,0.0,0.0
0.481397251213,213.57248367,0.007409369858,1623.0,0.007409369858,20,5.35619045334,1156.64716602,3,0.0117287781991,0.0117287781991,2611.0,1.67825298607,0.0,0.0
-0.814207111376,92.8662897864,-0.00401778883351,1204.66666667,-0.00401778883351,21,5.39370052119,314.996649012,3,0.0128152350781,0.0128152350781,1503.0,1.68523170245,0.0,769.0
0.542278639186,229.774608275,0.0107322431436,1493.0,-0.00400653869896,22,5.48166681487,1033.3256989,3,0.00950731252429,0.00997848768953,2319.0,1.70140921801,0.0147387818426,36.0
-0.390175435259,176.755073065,-0.0209689344435,1448.66666667,-0.0209689344435,23,5.42478031879,494.676549767,3,0.0127227496009,0.0127227496009,2080.0,1.69097740437,0.0,872.0
-0.0278377456659,101.294420276,0.003098261726,670.666666667,0.003098261726,24,5.36072131415,948.465895832,3,0.0177278247487,0.0177278247487,2012.0,1.67909853956,0.0,0.0
-1.59916134705,21.5130021406,0.00235645331393,397.666666667,0.00235645331393,25,5.30783454337,286.081961838,3,0.0115887457585,0.0115887457585,661.0,1.6691839448,0.0,0.0
0.182307119533,146.235743986,0.0342956075086,1347.33333333,0.0342956075086,26,5.32589906299,1061.04424455,3,0.0109085166626,0.0109085166626,2722.0,1.67258153546,0.0,139.0
0.0403768856899,112.860984475,-0.0017267150832,1160.66666667,-0.0017267150832,27,5.33893234396,508.784390047,3,0.0120906248208,0.0120906248208,1869.0,1.67502569739,0.0,697.0
0.356612947427,121.046287271,-0.00447609852208,852.666666667,-0.00447609852208,28,5.44175763871,745.017374891,3,0.0102790332037,0.0102790332037,1815.0,1.69410210404,0.0,0.0
