AverageReturn,MaxReturn,LossAfter,MeanKLBefore,Entropy,ExplainedVariance,Perplexity,AverageDiscountedReturn,Iteration,MeanKL,NumTrajs,MinReturn,LossBefore,dLoss,StdReturn
10077.5,25800.0,-0.00993326544453,0.0,1.79175940923,2.88657986403e-15,5.99999964,665.298598213,0,0.00990674287844,10,0.0,1.79918302479e-15,0.00993326544454,8449.17765969
21008.75,30375.0,-0.00462396739198,0.0,1.78194434693,0.3233449235,5.94139733287,1936.27327667,1,0.00647279542076,10,10218.75,-3.39461792009e-16,0.00462396739198,6270.9979768
21816.25,28018.75,-0.00643855183226,3.10367274441e-17,1.76645615913,0.614593819563,5.85008481326,2029.16068387,2,0.00992935269616,10,12456.25,-4.18332035679e-17,0.00643855183226,4443.22975154
21180.625,27543.75,-0.00669431049646,0.0,1.7570994426,0.612610459182,5.79560251318,1831.17642026,3,0.00977417748343,10,13081.25,-7.04547531427e-17,0.00669431049646,4768.3481564
24093.75,32543.75,-0.00648050935782,0.0,1.74760143129,0.406790165058,5.74081640638,2656.73354865,4,0.0099564001171,10,10243.75,-4.30766533555e-17,0.00648050935782,7014.88261662
17521.875,24337.5,-0.00326122633627,0.0,1.72962874013,0.364855327245,5.63856014868,2141.69695429,5,0.00646200346713,10,8593.75,1.19939613796e-15,0.00326122633627,5362.18767301
20874.375,26762.5,-0.00411153034642,-2.95641376281e-17,1.69689762226,0.680804693527,5.45699145466,2621.23903073,6,0.00669618628146,10,15756.25,-1.69730896005e-16,0.00411153034642,3554.372802
20262.5,29587.5,-0.00310789975963,0.0,1.67473809553,0.453451259812,5.33739707783,2760.22842052,7,0.00983212312013,10,11912.5,-1.00091046562e-15,0.00310789975963,5809.68009554
20588.125,32231.25,-0.0060069517379,2.93059580444e-17,1.67932579979,0.47813855938,5.36193973135,2885.95261482,8,0.00670275650116,10,11881.25,-9.75886038646e-18,0.0060069517379,6005.01902708
17178.75,33931.25,-0.0052721044771,0.0,1.64753533532,0.1925699066,5.19416217001,2368.99369025,9,0.00685407201676,10,5431.25,2.33288388607e-16,0.0052721044771,9881.75923735
17059.375,34162.5,-0.00262832726806,0.0,1.6813895417,0.305810857717,5.37301681728,2291.32927567,10,0.00662743084925,10,7743.75,2.09832151654e-17,0.00262832726806,7388.84465872
25939.375,34262.5,-0.00348731992992,-5.12230967346e-17,1.66050628097,0.470631790747,5.26197420759,3453.91654198,11,0.00656020653933,10,14887.5,-2.12052597703e-16,0.00348731992992,6452.47351433
25215.625,31550.0,-0.00369108041432,0.0,1.64573887594,0.529883066183,5.18483944514,3372.25139619,12,0.00980163376056,10,14125.0,-9.17377285248e-17,0.00369108041432,6415.56654869
24173.75,34550.0,-0.00181812500249,-5.12474277902e-17,1.64445305861,0.5531956828,5.178176973,3387.96108556,13,0.00689405434295,10,11362.5,-1.45006229246e-16,0.00181812500249,6011.72929052
22433.75,30525.0,-0.00384155970391,4.9853704613e-17,1.63923721318,0.537238175561,5.15123871626,3000.96806015,14,0.00974240608847,10,11268.75,-2.50788279033e-16,0.00384155970391,5551.61589652
23175.625,34437.5,-0.00378417924188,1.26063926931e-16,1.58799387003,0.577732144529,4.89392123173,3304.09462404,15,0.0066430479384,10,14093.75,-1.08268949361e-16,0.00378417924188,5518.02476124
20843.75,29325.0,-0.00631384357032,0.0,1.59954078279,0.496610481874,4.95075842885,2830.42492093,16,0.00991357364931,10,8931.25,2.01089145335e-16,0.00631384357032,5607.58832967
23825.625,30918.75,-0.0032646866917,0.0,1.64326908775,0.566671196495,5.17204979024,3050.59776263,17,0.00651208310485,10,13962.5,-6.50968168259e-16,0.0032646866917,5406.84566805
25526.875,30925.0,-0.00670390012094,-1.40391335612e-17,1.60168613124,0.715433972168,4.96139093187,3273.93311673,18,0.00964841257338,10,16675.0,-6.39066577435e-16,0.00670390012094,4207.29282207
18121.875,27650.0,-0.0044287339034,3.4156201098e-17,1.64584502589,0.256148580049,5.18538984477,2403.43960296,19,0.00998565105846,10,5900.0,6.62203625268e-16,0.0044287339034,7589.45467512
20394.375,33581.25,-0.00414911106639,0.0,1.6060569423,0.422730904471,4.98312369455,2695.23345795,20,0.00975764677287,10,11362.5,-3.29070104499e-17,0.00414911106639,6632.90121407
17514.375,24325.0,-0.00606402415691,0.0,1.55561937562,0.400943106212,4.73802023074,2294.82974678,21,0.00970130175483,10,5981.25,7.97251153983e-17,0.00606402415691,5800.30983143
17589.375,24775.0,-0.0064319296333,-1.49321689287e-17,1.58275398891,0.374982285786,4.86834473372,2446.34663473,22,0.0099384229483,10,6012.5,2.16071605053e-16,0.0064319296333,6257.75272287
25237.5,30231.25,-0.0061973689138,-1.76802045198e-17,1.63749977641,0.595964048753,5.14229653519,3283.61066372,23,0.0093848648672,10,17231.25,4.09450251482e-17,0.0061973689138,4528.29472594
24060.625,30987.5,-0.00654599495275,0.0,1.61735067522,0.612857362807,5.03972075713,3097.13422895,24,0.00962961094353,10,14625.0,-8.98392471527e-17,0.00654599495275,4978.30060896
23336.875,31712.5,-0.00327873136304,-4.01569635744e-17,1.59201940454,0.388957574562,4.91366158664,2643.14440151,25,0.00984513092113,10,5718.75,-4.93771690202e-16,0.00327873136304,8113.03708257
22913.75,31687.5,-0.00784449927306,0.0,1.53689286342,0.45715278568,4.65011924531,2364.2424426,26,0.00973613646349,10,4081.25,3.04944958174e-16,0.00784449927306,7095.62409165
