MaxReturn,MinReturn,Iteration,ExplainedVariance,LossBefore,MeanKLBefore,StdReturn,AverageReturn,Perplexity,AverageDiscountedReturn,Entropy,LossAfter,NumTrajs,MeanKL,dLoss
16481.25,-6262.5,0,4.66293670343e-15,-1.13087317288e-16,1.94932897922e-18,7261.22194542,4754.375,5.0240594896,443.492609285,1.61423827018,-0.0177086845168,10,0.00667542075266,0.0177086845168
20768.75,-1675.0,1,0.357389628422,4.16688905602e-16,-6.62519576605e-19,7713.51049397,9640.625,5.12058686966,963.061106007,1.63326905546,-0.0171053165467,10,0.00681409112541,0.0171053165467
26600.0,7875.0,2,0.521422378253,-7.25197679685e-17,-4.82250244915e-19,5261.67084472,18970.625,5.15992819505,1984.49982993,1.64092266371,-0.0155306893597,10,0.00678586280387,0.0155306893597
27118.75,8375.0,3,0.564268189533,-7.66720020806e-17,-2.1629319106e-18,5626.90884278,17653.75,5.16590987575,2062.10217982,1.64208124887,-0.0126874403169,10,0.00645662103921,0.0126874403169
28662.5,12500.0,4,0.582210764971,-1.25877086532e-16,-1.8378872837e-18,4809.04831574,20641.875,5.18383450776,2827.81780604,1.64554503488,-0.0185642413851,10,0.00713290360745,0.0185642413851
22675.0,9031.25,5,0.643634730738,1.85906845473e-17,-2.63080874525e-18,3980.37691565,18834.375,5.17626432846,2479.3911948,1.64408362399,-0.017311825094,10,0.00924107556215,0.017311825094
26787.5,15087.5,6,0.759443049792,3.38173933301e-16,1.28443598192e-18,3372.23521014,20997.5,5.12114570458,2944.37463087,1.63337818444,-0.0149267040878,10,0.00932444285675,0.0149267040878
25593.75,12006.25,7,0.703912479916,1.10045306201e-16,7.64610645465e-19,3733.51423134,21661.875,5.08735019243,3121.31582837,1.62675710413,-0.0140416224546,10,0.00963966346522,0.0140416224546
28081.25,19300.0,8,0.814243480737,2.12008188782e-16,5.298942313e-19,2473.00179754,22106.875,5.12703647033,2898.65659177,1.63452780616,-0.0153321467002,10,0.0065587727493,0.0153321467002
25650.0,12825.0,9,0.761236956211,6.49569287248e-16,-3.90947718683e-18,3423.85678913,21951.25,4.99185282284,3071.67910702,1.60780714803,-0.012149870105,10,0.00740769241897,0.012149870105
